Subject,SES,Tradeoff,Location
1,0,1,0
3,1.5,0,0
5,2.121320344,0,0
6,3.464101615,0,0
7,3.535533906,1,0
8,1.414213562,1,0
9,1.414213562,0,0
10,3.535533906,0,1
12,0.5,0,1
14,4.618802154,0,0
15,3,0,1
16,7.071067812,0,1
17,2.828427125,0,0
18,1.414213562,1,0
20,2,1,0
21,1.5,1,0
22,2.121320344,0,1
23,6.363961031,0,1
24,1,1,0
25,0.707106781,1,0
27,1,0,0
28,1.414213562,1,0
29,0.577350269,1,0
30,0,0,0
31,2.309401077,0,0
33,4.024922359,0,0
35,1.414213562,1,0
36,1.154700538,0,1
37,3.535533906,0,0
38,1.341640786,0,0
39,0.377964473,0,0
41,4.618802154,0,0
42,2,0,0
43,1,0,0
44,1,0,0
45,0.707106781,1,0
46,1.732050808,0,0
49,2.121320344,1,0
50,2.121320344,0,1
51,3.535533906,0,0
52,4.5,1,0
53,1.732050808,0,0
54,1.788854382,1,0
55,0.707106781,0,1
56,0.707106781,1,0
58,1.414213562,1,0
59,4.949747468,1,0
60,2,0,0
61,5.773502692,0,1
62,2.121320344,0,0
63,4.618802154,0,0
64,2.5,0,0
65,2,0,0
66,2,0,0
67,2.886751346,1,0
68,2.121320344,0,0
69,1.154700538,0,0
70,3.535533906,0,1
71,1.414213562,1,0
72,4.242640687,1,0
73,1.414213562,1,0
74,4,0,1
75,3,0,1
76,2.828427125,1,0
77,7,0,0
78,1,1,0
79,0,0,0
80,4.5,1,0
81,0.707106781,1,0
82,2.121320344,0,1
83,3.5,1,0
84,0,0,0
85,1.5,1,0
86,3.464101615,0,0
87,2.683281573,1,0
88,3,0,0
89,2,1,0
90,1,1,0
92,0.707106781,1,0
93,4.082482905,0,0
94,2.5,1,0
95,5,0,0
96,0.40824829,1,0
97,0.577350269,0,0
98,5.656854249,0,0
99,1,0,0
100,4.024922359,0,1
102,4.5,0,0
103,3.5,0,0
104,3,0,1
105,0.577350269,0,0
106,4.041451884,0,0
107,4.242640687,1,0
108,2.857738033,0,0
109,2.309401077,0,0
110,2,0,1
111,4.949747468,1,0
112,5.773502692,0,1
113,2.121320344,0,0
114,1.414213562,1,0
115,2.683281573,1,0
116,4.242640687,0,1
118,4,0,1
