subject,lgdiscount,lgsavings,income,house,edu,go,inc2,ses,split
1,0,1,1,2,2,1,15000,10606.60172,0
2,0,1,6,2,4,1,65000,45961.94078,1
3,0,1,3,1,4,1,35000,35000,1
4,0,0,2,3,3,0,25000,14433.75673,0
5,0,1,0,1,2,0,5000,5000,0
6,0,0,3,2,4,0,35000,24748.73734,0
7,1,1,2,3,2,1,25000,14433.75673,0
8,0,1,8,4,2,0,85000,42500,1
9,1,0,2,2,1,0,25000,17677.66953,0
10,0,1,6,5,3,1,65000,29068.88371,1
11,1,1,4,1,4,0,45000,45000,1
12,0,0,7,1,4,0,75000,75000,1
13,1,0,2,1,3,0,25000,25000,0
14,1,1,1,3,1,1,15000,8660.254038,0
15,1,0,0,1,4,0,5000,5000,0
16,1,0,1,1,4,0,15000,15000,0
17,0,1,3,3,2,1,35000,20207.25942,0
18,0,0,3,1,1,0,35000,35000,1
19,1,1,1,2,2,1,15000,10606.60172,0
20,1,0,9,2,3,0,95000,67175.14421,1
21,1,0,1,1,4,1,15000,15000,0
22,0,1,3,4,1,1,35000,17500,0
23,0,1,4,4,4,1,45000,22500,0
24,1,0,1,1,6,1,15000,15000,0
25,0,0,0,2,2,0,5000,3535.533906,0
26,0,1,2,1,3,1,25000,25000,0
27,0,1,3,1,4,1,35000,35000,1
28,1,1,4,2,4,1,45000,31819.80515,1
29,0,1,3,2,5,1,35000,24748.73734,0
30,1,0,10,2,4,0,125000,88388.34765,1
31,0,0,1,3,1,0,15000,8660.254038,0
32,1,0,3,4,1,1,35000,17500,0
33,0,1,7,2,3,1,75000,53033.00859,1
34,1,0,9,2,3,0,95000,67175.14421,1
35,0,0,10,8,1,0,125000,44194.17382,1
36,0,0,1,1,5,0,15000,15000,0
37,1,1,8,4,2,1,85000,42500,1
38,1,0,0,2,3,0,5000,3535.533906,0
39,0,1,4,3,2,1,45000,25980.76211,0
40,1,1,1,3,2,1,15000,8660.254038,0
41,0,0,0,2,3,0,5000,3535.533906,0
42,0,1,10,3,2,1,125000,72168.78365,1
43,1,0,3,1,4,0,35000,35000,1
44,1,0,2,2,2,0,25000,17677.66953,0
46,0,0,1,2,4,0,15000,10606.60172,0
47,0,1,2,2,2,1,25000,17677.66953,0
48,1,0,10,2,6,1,125000,88388.34765,1
49,1,1,2,5,2,1,25000,11180.33989,0
51,1,1,9,4,3,1,95000,47500,1
52,1,1,0,1,2,1,5000,5000,0
53,0,1,0,1,1,1,5000,5000,0
54,1,1,6,3,3,0,65000,37527.7675,1
55,1,1,6,3,1,1,65000,37527.7675,1
56,0,1,1,2,4,1,15000,10606.60172,0
57,0,0,5,2,4,1,55000,38890.87297,1
58,1,0,7,5,3,0,75000,33541.01966,1
59,1,0,2,2,1,0,25000,17677.66953,0
60,0,0,3,1,3,0,35000,35000,1
61,0,1,7,3,4,1,75000,43301.27019,1
62,0,1,4,4,2,1,45000,22500,0
63,0,1,7,1,4,1,75000,75000,1
64,1,0,1,1,2,0,15000,15000,0
65,0,1,0,5,0,1,5000,2236.067977,0
66,1,0,8,4,2,0,85000,42500,1
67,0,1,6,5,4,1,65000,29068.88371,1
69,1,1,4,2,2,1,45000,31819.80515,1
70,1,1,7,4,2,1,75000,37500,1
71,1,1,10,3,5,0,125000,72168.78365,1
72,1,0,9,3,4,0,95000,54848.27557,1
73,1,0,2,1,3,0,25000,25000,0
74,0,0,3,2,1,0,35000,24748.73734,0
75,1,1,5,2,2,1,55000,38890.87297,1
76,0,0,7,5,2,0,75000,33541.01966,1
77,1,1,5,2,4,1,55000,38890.87297,1
78,0,0,8,3,2,0,85000,49074.77288,1
79,0,0,3,1,3,1,35000,35000,1
80,0,0,10,3,4,0,125000,72168.78365,1
81,1,0,6,2,4,0,65000,45961.94078,1
82,1,1,4,3,2,1,45000,25980.76211,0
83,0,0,3,2,2,1,35000,24748.73734,0
84,1,0,1,5,2,0,15000,6708.203932,0
85,0,0,5,5,2,0,55000,24596.74775,0
86,1,1,0,1,3,0,5000,5000,0
87,0,0,5,6,4,0,55000,22453.65598,0
88,0,0,9,3,4,0,95000,54848.27557,1
89,1,1,0,3,2,1,5000,2886.751346,0
90,0,1,3,4,2,0,35000,17500,0
91,0,0,7,2,4,1,75000,53033.00859,1
92,1,0,3,1,5,0,35000,35000,1
93,1,1,2,4,4,1,25000,12500,0
94,0,0,3,1,2,0,35000,35000,1
95,1,0,2,1,3,0,25000,25000,0
96,0,1,3,4,2,1,35000,17500,0
97,1,1,5,1,6,1,55000,55000,1
98,1,0,0,1,4,1,5000,5000,0
99,1,1,8,3,6,1,85000,49074.77288,1
100,1,0,0,1,4,0,5000,5000,0
101,0,1,7,2,6,1,75000,53033.00859,1
102,1,0,4,2,4,0,45000,31819.80515,1
103,1,1,1,3,2,1,15000,8660.254038,0
104,1,0,9,3,4,0,95000,54848.27557,1
105,1,1,4,5,3,1,45000,20124.6118,0
106,1,0,5,1,6,0,55000,55000,1
107,0,0,2,1,2,0,25000,25000,0
108,1,0,4,2,2,0,45000,31819.80515,1
109,0,0,0,1,5,0,5000,5000,0
110,0,0,6,2,6,0,65000,45961.94078,1
111,1,1,7,4,1,1,75000,37500,1
112,0,1,8,4,2,1,85000,42500,1
113,0,0,1,3,0,0,15000,8660.254038,0
114,0,0,2,2,4,0,25000,17677.66953,0
115,0,1,11,3,6,1,150000,86602.54038,1
116,1,0,7,3,4,0,75000,43301.27019,1
117,1,0,7,2,4,0,75000,53033.00859,1
118,1,1,1,1,1,0,15000,15000,0
119,1,0,9,8,4,0,95000,33587.57211,1
120,0,0,3,5,2,0,35000,15652.47584,0
121,0,1,0,1,2,1,5000,5000,0
122,0,0,10,4,4,0,125000,62500,1
123,0,1,3,5,4,1,35000,15652.47584,0
124,0,1,0,3,2,1,5000,2886.751346,0
125,0,0,2,2,1,0,25000,17677.66953,0
126,1,1,0,1,2,1,5000,5000,0
127,0,1,0,1,6,1,5000,5000,0
128,0,1,6,4,4,1,65000,32500,1
129,0,0,5,2,4,0,55000,38890.87297,1
130,0,0,10,2,6,0,125000,88388.34765,1
131,1,0,9,4,2,1,95000,47500,1
132,1,1,5,4,2,0,55000,27500,1
133,1,1,2,1,6,1,25000,25000,0
134,1,0,4,1,6,0,45000,45000,1
135,0,0,10,2,6,0,125000,88388.34765,1
136,1,0,6,1,4,0,65000,65000,1
137,0,1,10,4,2,1,125000,62500,1
138,0,0,3,2,3,0,35000,24748.73734,0
139,1,0,6,1,4,0,65000,65000,1
140,0,1,4,4,3,1,45000,22500,0
141,0,1,1,2,4,1,15000,10606.60172,0
142,0,0,3,2,4,0,35000,24748.73734,0
143,1,1,10,2,5,1,125000,88388.34765,1
144,1,0,3,1,2,0,35000,35000,1
145,1,1,10,3,6,1,125000,72168.78365,1
146,1,1,8,2,4,0,85000,60104.0764,1
147,1,0,2,2,2,0,25000,17677.66953,0
148,1,0,10,2,4,0,125000,88388.34765,1
149,0,1,10,3,6,1,125000,72168.78365,1
150,1,0,3,4,4,1,35000,17500,0
151,1,1,1,1,4,1,15000,15000,0
152,1,1,0,1,4,1,5000,5000,0
