Subject,cond,age,gender,ethnicity,income,house,edu
1,0,19,m,White,1,2,2
2,0,26,f,Asian or Pacific Islander,6,2,4
3,0,25,m,White,3,1,4
4,0,52,f,White,2,3,3
5,0,33,f,White,0,1,2
6,0,24,m,White,3,2,4
7,1,33,f,White,2,3,2
8,0,22,f,White,8,4,2
9,1,20,f,WHITE,2,2,1
10,0,46,f,white,6,5,3
11,1,25,m,Caucasian,4,1,4
12,0,43,m,White,7,1,4
13,1,56,m,caucasian,2,1,3
14,1,24,m,White,1,3,1
15,1,30,f,Caucasian,0,1,4
16,1,31,m,White,1,1,4
17,0,26,f,white,3,3,2
18,0,74,f,White,3,1,1
19,1,19,m,white,1,2,2
20,1,57,f,White,9,2,3
21,1,30,m,White,1,1,4
22,0,48,m,White,3,4,1
23,0,29,f,White,4,4,4
24,1,32,m,white,1,1,6
25,0,28,m,White,0,2,2
26,0,20,m,Multiracial,2,1,3
27,0,60,f,white,3,1,4
28,1,32,m,white,4,2,4
29,0,65,m,Caucasian/White,3,2,5
30,1,29,m,Caucasian,10,2,4
31,0,24,m,white,1,3,1
32,1,24,m,hispanic,3,4,1
33,0,33,m,Hispanic,7,2,3
34,1,25,f,Caucasian,9,2,3
35,0,29,m,white,10,8,1
36,0,22,f,Chinese,1,1,5
37,1,19,m,White,8,4,2
38,1,58,m,White,0,2,3
39,0,28,m,white,4,3,2
40,1,33,m,White,1,3,2
41,0,29,m,white,0,2,3
42,0,23,f,White,10,3,2
43,1,29,m,white,3,1,4
44,1,23,f,White,2,2,2
46,0,24,m,White,1,2,4
47,0,28,m,white,2,2,2
48,1,37,m,whte,10,2,6
49,1,38,m,usa white,2,5,2
51,1,20,f,White,9,4,3
52,1,27,m,Caucasian,0,1,2
53,0,20,f,hispanic,0,1,1
54,1,28,f,White/Caucasion,6,3,3
55,1,21,f,White,6,3,1
56,0,21,m,White,1,2,4
57,0,22,f,White,5,2,4
58,1,25,f,White,7,5,3
59,1,20,m,Caucasian,2,2,1
60,0,26,m,White,3,1,3
61,0,31,f,White,7,3,4
62,0,64,m,caucasian,4,4,2
63,0,25,m,Caucasian,7,1,4
64,1,21,m,White,1,1,2
65,0,25,m,hispanic,0,5,0
66,1,20,m,White,8,4,2
67,0,27,m,black,6,5,4
69,1,25,m,White/Caucasion,4,2,2
70,1,27,f,Black or African American,7,4,2
71,1,21,m,White,10,3,5
72,1,29,m,Caucasian,9,3,4
73,1,22,m,white,2,1,3
74,0,42,f,Caucasian,3,2,1
75,1,27,f,White,5,2,2
76,0,23,m,caucasian,7,5,2
77,1,53,m,Caucasion,5,2,4
78,0,20,m,White,8,3,2
79,0,26,f,Caucasian,3,1,3
80,0,31,m,White,10,3,4
81,1,23,m,White,6,2,4
82,1,33,f,White American,4,3,2
83,0,21,m,caucasian,3,2,2
84,1,24,f,caucasian,1,5,2
85,0,32,f,White,5,5,2
86,1,33,m,European,0,1,3
87,0,24,f,White,5,6,4
88,0,34,m,White,9,3,4
89,1,21,f,white,0,3,2
90,0,38,f,caucasian,3,4,2
91,0,28,m,white,7,2,4
92,1,22,f,White,3,1,5
93,1,32,f,white,2,4,4
94,0,24,f,white,3,1,2
95,1,37,m,caucasian,2,1,3
96,0,27,m,White,3,4,2
97,1,34,f,caucasian,5,1,6
98,1,23,m,White,0,1,4
99,1,29,m,White,8,3,6
100,1,29,f,Asian,0,1,4
101,0,25,f,white,7,2,6
102,1,26,m,White,4,2,4
103,1,21,f,white,1,3,2
104,1,41,m,White,9,3,4
105,1,28,f,white,4,5,3
106,1,23,m,White,5,1,6
107,0,27,f,Black,2,1,2
108,1,27,f,White,4,2,2
109,0,25,m,White,0,1,5
110,0,25,f,white,6,2,6
111,1,58,f,White,7,4,1
112,0,22,m,Black or African American,8,4,2
113,0,30,m,White,1,3,0
114,0,23,m,Caucasian,2,2,4
115,0,36,m,White,11,3,6
116,1,30,m,White,7,3,4
117,1,27,f,Caucasian,7,2,4
118,1,30,m,white,1,1,1
119,1,23,f,White,9,8,4
120,0,22,m,Asian,3,5,2
121,0,20,f,white,0,1,2
122,0,40,m,white/caucasian,10,4,4
123,0,23,m,white,3,5,4
124,0,45,f,white,0,3,2
125,0,20,f,white,2,2,1
126,1,31,m,White,0,1,2
127,0,58,f,white/European American,0,1,6
128,0,24,f,asian,6,4,4
129,0,27,m,White,5,2,4
130,0,29,f,Caucasian,10,2,6
131,1,26,m,White,9,4,2
132,1,22,f,Asian,5,4,2
133,1,24,m,White,2,1,6
134,1,27,m,White,4,1,6
135,0,28,f,Caucasian,10,2,6
136,1,23,m,White,6,1,4
137,0,18,m,Asian,10,4,2
138,0,23,m,white,3,2,3
139,1,27,m,Caucasian,6,1,4
140,0,34,m,whtie,4,4,3
141,0,41,m,black,1,2,4
142,0,29,m,white,3,2,4
143,1,37,f,white,10,2,5
144,1,29,m,caucasian,3,1,2
145,1,28,m,White,10,3,6
146,1,26,f,caucasian,8,2,4
147,1,31,m,White,2,2,2
148,1,27,m,Caucasian,10,2,4
149,0,32,m,Asian,10,3,6
150,1,24,m,asian,3,4,4
151,1,26,f,White,1,1,4
152,1,30,m,Black and White,0,1,4
153,1,19,m,Hispanic,3,6,1
158,0,27,m,caucasian,3,2,1
159,0,35,m,Filipino,1,5,2
160,0,36,f,White,1,4,4
161,1,23,m,White,2,3,4
162,1,22,f,Black,3,3,2
163,1,27,m,Chinese,3,1,6
164,0,20,m,White,1,1,0
165,1,22,m,White,7,6,1
166,0,31,m,White,2,2,4
167,0,27,f,White,1,2,2
168,0,21,m,white,5,3,2
169,1,21,f,white,8,3,2
170,0,25,m,White/Caucasian,7,5,2
171,1,28,m,White,7,2,6
172,0,27,m,white,3,1,4
173,1,31,m,white,1,2,4
174,0,28,f,white,3,2,4
175,1,34,m,White,5,2,2
176,0,30,f,White,2,9,2
177,1,57,f,Black,1,1,6
178,1,32,m,white,4,3,1
179,0,23,f,White,0,2,2
180,0,24,m,garifuna,3,2,4
181,1,26,f,white,10,2,6
182,0,36,m,Caucasian,2,2,2
183,1,29,m,Caucasian,5,4,4
184,1,32,m,Asian,2,1,2
185,0,35,m,Caucasian,2,1,1
186,1,27,f,white,4,5,3
187,0,44,f,white,2,4,1
188,0,28,f,black/white,1,1,1
189,1,23,m,white,2,1,2
190,0,23,f,caucasian,0,2,5
191,0,34,m,white,7,5,1
192,1,35,f,Black,5,4,4
193,0,22,m,white,0,2,2
194,1,24,f,White,1,3,4
195,0,24,f,Asian,1,4,2
196,1,35,m,White,6,4,4
197,0,22,m,White,10,3,4
199,1,23,m,Asian or Pacific Islander,1,4,4
200,0,20,m,white,2,4,2
201,0,26,m,Caucasian,0,1,1
202,0,35,m,White,3,2,4
203,1,39,m,White,7,4,6
204,1,35,m,white,2,1,4
205,1,39,m,White,3,1,4
206,1,38,m,white,7,3,2
207,0,43,m,White,9,4,6
208,1,29,m,White,6,3,1
209,1,27,m,White,4,1,2
210,1,28,m,White,8,1,4
211,1,25,m,Caucasian,7,2,4
212,0,23,f,Black,4,1,2
213,0,23,f,caucasian,6,4,4
214,1,27,m,White,0,1,6
215,1,21,f,Caucasian,3,4,1
216,0,24,f,Caucasian,10,3,1
217,0,27,m,White,2,1,3
218,0,26,m,White,6,2,4
219,0,29,m,white,0,1,2
220,1,28,f,white,4,2,4
221,1,25,m,white,4,2,3
222,0,25,m,white,5,3,2
223,1,29,m,White,3,1,1
225,0,45,m,Caucasian,2,1,2
226,0,23,m,Asian,6,5,4
227,1,28,m,white,3,1,4
228,1,35,m,Caucasian,3,6,2
229,0,31,m,White,7,4,2
230,1,49,m,ASIAN,5,4,4
231,0,29,m,Caucasian,9,2,6
232,1,38,m,Caucasian,2,4,1
233,0,21,m,White,1,2,1
234,0,30,f,White,5,6,4
235,1,68,f,White,2,1,2
236,1,20,f,black,10,4,2
237,1,43,m,Asian,5,3,4
238,1,28,m,White,4,1,4
239,0,30,m,Asian,6,3,6
240,0,27,m,Caucasian,1,1,2
241,1,32,f,black,1,3,4
242,0,32,m,White,2,2,1
243,1,22,f,White,0,3,2
244,0,28,f,White,6,4,3
245,1,47,f,white,5,3,3
246,0,38,m,Hispanic,10,4,4
247,1,35,m,White,10,4,4
248,1,24,m,White,4,1,4
249,1,23,f,Caucasian,1,2,2
250,0,23,m,White american,4,1,4
252,0,45,f,White,3,3,2
253,0,25,m,Asian,8,4,4
254,1,29,m,White (Caucasian),2,2,5
255,0,27,f,Caucasian,1,1,2
256,0,55,f,white,1,2,1
257,1,30,m,Caucasian,5,1,3
258,0,23,m,white,4,5,4
259,0,29,f,caucasian,0,2,2
260,0,19,m,Asian,11,4,2
261,1,40,f,White,3,4,4
262,1,38,f,Caucasian,4,5,4
263,0,30,f,White,4,1,4
264,1,24,m,White,0,1,1
265,1,12,m,White,9,2,4
266,0,25,m,white,5,2,5
267,1,26,f,Chinese,3,1,4
268,1,30,f,White,3,1,4
269,0,24,f,white,3,4,2
270,1,27,m,White,10,4,2
271,1,26,f,Caucasian ,6,3,4
272,1,24,f,White,2,2,4
273,0,36,m,Caucasian,1,3,1
274,1,23,f,White,1,2,1
275,0,29,f,Caucasian,10,2,6
276,0,21,m,white,9,4,2
277,1,28,f,caucasion,1,1,2
278,0,27,f,Black,4,3,4
280,0,22,f,African American,4,4,3
281,1,59,f,white,7,4,6
282,0,28,m,White,4,2,1
283,0,33,f,white,5,3,6
284,0,27,m,White,6,2,4
285,0,41,f,white,3,4,1
286,1,26,m,White,2,1,2
287,1,27,f,White,5,3,4
288,0,27,m,White,4,4,2
289,1,25,f,White,7,2,4
290,1,41,m,White,9,4,6
291,0,30,m,White,0,1,6
292,1,26,m,Black,3,4,1
293,0,39,m,white,4,2,1
294,0,33,f,White,6,4,4
295,1,56,f,White,10,3,4
296,0,24,m,Caucasian,4,3,2
297,1,21,m,White,0,5,2
298,1,32,m,black-white,4,2,2
299,1,28,f,hispanic,2,4,2
300,1,63,f,White,6,2,4
301,1,32,m,white,4,3,4
303,1,35,f,Hispanic,5,2,5
304,1,33,m,Caucasian,9,4,4
305,0,57,m,caucasian,3,2,4
306,0,42,f,White,3,5,1
307,0,43,m,Caucasion,0,2,4
308,0,24,m,White,2,3,3
309,0,25,m,asian,1,3,2
