Subject,cond,inc,house,inc2,ses,split,judge
1,0,1,3,15000,8660.254038,0,13
2,1,10,3,125000,72168.78365,1,5
3,0,4,4,45000,22500,0,14
5,0,9,3,95000,54848.27557,1,5
6,1,1,1,15000,15000,0,3
8,1,3,4,35000,17500,0,1
9,0,5,2,55000,38890.87297,1,1
10,1,3,4,35000,17500,0,4
11,0,1,2,15000,10606.60172,0,8
12,1,0,1,5000,5000,0,16
13,0,0,2,5000,3535.533906,0,1
14,1,11,1,150000,150000,1,4
15,0,9,3,95000,54848.27557,1,11
17,0,10,4,125000,62500,1,1
18,1,5,2,55000,38890.87297,1,17
20,1,1,1,15000,15000,0,16
21,0,3,1,35000,35000,1,2
23,0,11,5,150000,67082.03932,1,10
25,0,1,5,15000,6708.203932,0,8
26,1,3,4,35000,17500,0,8
27,0,7,6,75000,30618.62178,1,11
30,1,5,3,55000,31754.26481,1,15
31,0,8,5,85000,38013.15562,1,8
32,1,4,3,45000,25980.76211,1,8
33,0,9,2,95000,67175.14421,1,16
34,1,8,2,85000,60104.0764,1,19
35,0,3,2,35000,24748.73734,0,3
36,1,9,2,95000,67175.14421,1,13
37,0,2,2,25000,17677.66953,0,1
38,1,10,4,125000,62500,1,11
39,0,1,4,15000,7500,0,14
40,1,1,4,15000,7500,0,12
41,0,2,2,25000,17677.66953,0,10
42,1,1,3,15000,8660.254038,0,8
43,0,10,2,125000,88388.34765,1,2
44,1,0,1,5000,5000,0,18
46,1,7,2,75000,53033.00859,1,15
49,0,10,3,125000,72168.78365,1,9
51,0,0,4,5000,2500,0,15
54,1,2,3,25000,14433.75673,0,12
55,0,4,2,45000,31819.80515,1,6
56,1,3,5,35000,15652.47584,0,8
57,0,4,2,45000,31819.80515,1,15
59,0,5,2,55000,38890.87297,1,11
60,1,2,1,25000,25000,0,4
62,1,0,2,5000,3535.533906,0,7
63,0,9,6,95000,38783.58759,1,7
64,1,3,1,35000,35000,1,15
65,0,1,1,15000,15000,0,11
66,1,1,4,15000,7500,0,1
68,1,7,2,75000,53033.00859,1,2
69,0,6,5,65000,29068.88371,1,4
70,1,2,1,25000,25000,0,12
