Subject,cond,age,gender,ethnicity,income,house
1,0,25,m,bonian,1,3
2,1,25,f,white,10,3
3,0,57,f,white,4,4
5,0,34,m,White,9,3
6,1,41,f,White,1,1
8,1,42,m,Caucasian,3,4
9,0,48,f,Caucasian,5,2
10,1,47,f,white,3,4
11,0,31,m,White,1,2
12,1,19,m,Asian/White,0,1
13,0,30,f,African American,0,2
14,1,35,m,White American,11,1
15,0,48,m,white,9,3
17,0,53,f,white,10,4
18,1,29,m,Asian,5,2
20,1,54,m,Caucasian,1,1
21,0,24,f,American,3,1
23,0,47,f,white,11,5
25,0,36,f,Caucasian,1,5
26,1,33,m,white,3,4
27,0,25,f,black,7,6
30,1,30,f,white,5,3
31,0,53,m,Caucasian,8,5
32,1,27,f,Caucasian,4,3
33,0,26,m,White,9,2
34,1,25,m,latino,8,2
35,0,28,m,Native American,3,2
36,1,26,m,white,9,2
37,0,32,f,White,2,2
38,1,27,f,White,10,4
39,0,23,m,Chinese,1,4
40,1,30,f,white,1,4
41,0,25,m,White,2,2
42,1,58,m,White,1,3
43,0,20,f,white,10,2
44,1,32,m,white,0,1
46,1,25,f,white,7,2
49,0,35,f,African American,10,3
51,0,20,m,white,0,4
54,1,35,m,black,2,3
55,0,32,m,White,4,2
56,1,53,f,White,3,5
57,0,26,m,White,4,2
59,0,22,f,american,5,2
60,1,51,f,white,2,1
62,1,20,m,White/Caucasian,0,2
63,0,38,f,Black,9,6
64,1,49,m,White,3,1
65,0,23,f,white,1,1
66,1,27,m,white,1,4
68,1,64,f,white,7,2
69,0,21,f,Asian,6,5
70,1,25,f,White,2,1
71,0,25,f,White,7,2
72,1,44,f,white,2,1
73,0,37,f,white,0,6
74,1,54,m,white,2,1
78,1,29,m,White,1,4
79,0,20,m,hispanic,0,2
80,1,33,m,white,1,2
81,0,28,m,white,9,2
82,1,34,m,White,4,1
83,0,43,f,Asian,7,4
84,1,27,m,White,9,1
85,0,36,m,white,6,1
86,1,25,m,white,3,3
87,0,36,f,white,2,2
88,1,25,m,Black,2,3
89,0,56,f,cCucasian,4,3
90,1,26,m,Caucasian,10,3
91,0,22,m,White,6,1
92,1,27,m,White,9,2
93,0,29,m,Caucasian,3,3
94,1,24,m,white,2,2
95,0,23,m,white,3,2
96,1,25,m,White,2,2
97,0,27,m,Hispanic,3,2
98,1,22,f,Asian American,3,2
99,0,35,f,white,2,3
100,1,20,m,White,10,4
101,0,23,m,white,2,1
102,1,34,f,white,5,4
103,0,23,m,White,3,3
105,0,44,m,white,4,3
106,1,26,m,white,4,2
107,0,36,m,white,5,2
108,1,20,f,White,4,2
109,0,32,m,Hispanic,8,2
110,1,28,m,White,6,2
111,0,20,m,White,0,3
112,1,23,f,white,8,3
113,0,28,m,Asian,0,3
114,1,25,f,Caucasian,6,2
115,0,26,m,Asian & White,9,4
116,1,51,f,white,10,3
117,0,26,m,white,4,4
118,1,24,m,Caucasian,5,3
119,0,24,m,Caucasian,10,3
121,0,43,f,white,11,5
123,0,23,m,White,2,2
125,0,38,m,Caucasian,11,2
126,1,34,f,White,2,5
127,0,27,f,black,0,4
128,1,36,m,white,3,5
130,1,28,m,Caucasian,4,1
131,0,80,f,caucasian,9,1
132,1,22,m,white,6,3
133,0,33,m,white,3,2
134,1,36,m,White/Asian,3,1
135,0,20,m,white,6,4
136,1,25,m,asian,2,4
137,0,20,m,Black,3,1
138,1,23,f,white,2,4
139,0,23,m,White,10,3
141,0,24,f,White,4,4
142,1,19,f,White/Brazilian,2,3
143,0,63,f,caucasion,2,1
144,1,20,m,white,1,1
145,0,24,f,white,3,2
146,1,24,f,russian,3,3
147,0,31,m,White,4,3
149,0,19,m,White,7,4
150,1,22,f,white,2,1
151,0,21,m,White,11,4
152,1,27,m,White,9,2
153,0,29,f,white,10,4
154,1,19,f,Hispanic/White,0,2
155,0,26,m,white,7,4
156,1,30,m,Asian/American,3,2
157,0,40,f,jewish,0,10
159,0,29,f,Caucasian,3,2
160,1,22,f,white,3,2
161,0,29,f,white,6,5
162,1,26,m,White,3,2
163,0,23,m,white,1,2
165,0,29,f,White,3,2
167,0,18,f,white,5,4
168,1,29,m,White,7,4
169,0,25,f,caucasian,7,3
171,0,23,f,Caucasian,2,1
172,1,36,m,white,6,1
173,0,29,m,Caucasian,4,2
174,1,25,m,White,5,2
175,0,19,m,Asian American,10,4
176,1,25,f,White Hispanic,4,1
177,0,31,f,Caucasian,1,2
178,1,31,m,White,0,1
179,0,23,m,Hispanic,0,1
180,1,38,f,caucasion,0,3
182,1,19,f,white,3,3
183,0,24,m,White,2,1
184,1,19,m,White,8,3
185,0,20,m,White,0,3
186,1,32,m,white,8,2
187,0,19,m,White,0,1
188,1,25,f,Hispanic,7,4
190,1,25,m,Caucasian,2,2
191,0,25,m,whire,2,1
192,1,25,m,White,0,3
193,0,20,m,Asian,4,4
194,1,23,m,Caucasian,8,4
195,0,33,m,caucasian,4,2
196,1,18,m,Male,0,1
197,0,22,f,Caucasian,2,3
198,1,20,m,Japanese,8,2
199,0,19,f,caucasian,10,4
200,1,21,m,Caucasian,1,2
201,0,29,m,caucasian,8,4
202,1,27,m,Caucasian,6,3
203,0,24,m,White,9,3
204,1,30,m,Asian,7,1
205,0,31,m,Caucasian,5,3
208,1,25,f,White,2,1
209,0,25,m,Hispanic,2,1
210,1,21,m,Caucasian,0,1
211,0,33,m,Caucasian,10,3
212,1,18,m,Caucasian,10,3
213,0,19,m,White,0,1
214,1,27,m,Caucasian,2,2
215,0,20,m,white,0,5
216,1,25,m,Asian American,2,2
217,0,35,m,White / Caucasin,7,3
218,1,24,m,White,10,3
219,0,26,m,Caucasian,3,1
220,1,19,m,White,1,1
221,0,26,m,Asian,0,4
222,1,29,m,white,0,2
223,0,30,m,W,8,2
224,1,48,f,white,2,2
225,0,19,m,Caucasian,10,3
227,0,28,m,Caucasian,5,2
228,1,25,m,White,7,4
229,0,20,m,White,10,4
230,1,48,m,white,2,1
231,0,21,m,Caucasian,0,4
232,1,27,m,caucasian,2,1
233,0,18,m,Caucasian,1,3
234,1,18,m,White,9,4
240,1,29,f,white,2,2
241,0,25,f,white,2,2
242,1,22,f,Caucasian,0,3
243,0,29,f,White,2,3
244,1,27,f,white,9,3
245,0,26,m,white,0,3
247,0,21,m,White,1,1
248,1,20,m,white,3,4
249,0,25,f,Hispanic,2,2
250,1,46,m,Caucasian,8,4
251,0,33,f,white,5,2
252,1,36,f,White,8,4
253,0,55,f,asian,7,3
254,1,67,f,Caucasian,3,2
255,0,21,m,White,5,2
256,1,28,f,african american,1,3
257,0,24,m,asian,5,10
258,1,41,m,male/white,9,3
259,0,21,m,white,2,7
260,1,38,m,Caucasian/American,7,1
261,0,30,f,White,2,1
262,1,28,f,white,7,5
263,0,29,f,Asian,10,2
264,1,20,m,White,3,3
265,0,35,m,Hispanic,5,4
266,1,25,f,Caucasian,2,1
267,0,43,m,white,2,1
268,1,23,f,White,1,2
269,0,20,m,Pacific Islander,2,6
270,1,30,f,white,3,3
271,0,22,f,Caucasian,3,2
272,1,21,f,Caucasian,1,6
273,0,32,m,Pacific Islander,3,2
274,1,28,m,White,4,2
275,0,20,f,White,10,4
276,1,26,m,Caucasian,2,2
277,0,48,f,White/American,2,3
278,1,40,f,White,2,4
279,0,49,f,white,11,2
280,1,51,m,cauc,9,4
281,0,22,f,white,1,3
282,1,29,m,White,4,3
284,1,24,f,Asian,9,7
285,0,20,m,Caucasian,4,4
287,0,25,f,White,4,2
288,1,40,f,White,3,3
289,0,19,m,White,1,3
290,1,23,m,Caucasian,5,4
291,0,32,f,white ,3,1
