Subject,Large Acc,Income,House,Split,Income2,SES2,Free hrs,Expense,Wait min,Checking,Savings,Bonds,Stock,CDs
6,0,4,2,1,45000,31819.80515,8,7,15,0,1,0,1,1
7,1,3,3,0,35000,20207.25942,9,8,20,1,0,0,0,0
8,0,9,2,1,95000,67175.14421,8,6,5,0,1,0,0,0
9,1,4,4,0,45000,22500,2,6,20,1,1,0,0,0
10,0,0,1,0,5000,5000,4,7,20,0,1,0,0,0
11,1,5,2,1,55000,38890.87297,15,8,10,1,1,0,0,0
12,0,0,1,0,5000,5000,3,9,60,0,1,1,1,1
13,1,11,2,1,150000,106066.0172,8,6,30,1,1,0,1,0
14,0,4,2,1,45000,31819.80515,9,7,30,0,1,0,1,1
15,1,10,4,1,125000,62500,5,8,30,1,1,0,0,0
17,1,1,1,0,15000,15000,6,10,10,1,0,0,0,0
18,0,1,1,0,15000,15000,12,6,15,0,1,1,0,1
19,1,0,1,0,5000,5000,10,8,60,1,0,0,0,0
20,0,0,3,0,5000,2886.751346,2,9,40,1,1,1,1,1
22,0,10,2,1,125000,88388.34765,2.5,8,20,0,1,1,1,1
23,1,1,1,0,15000,15000,24,11,5,1,1,0,0,0
24,0,2,2,0,25000,17677.66953,24,9,5,1,1,1,1,1
25,1,2,1,1,25000,25000,7,9,30,1,1,0,0,0
26,0,3,4,0,35000,17500,2,2,15,1,1,0,1,0
27,1,1,2,0,15000,10606.60172,12,9,0,1,1,0,0,0
29,1,2,1,1,25000,25000,5,10,20,1,1,0,0,0
30,0,3,3,0,35000,20207.25942,2,8,20,1,1,0,1,1
31,1,5,2,1,55000,38890.87297,5,5,10,1,1,0,0,0
32,0,3,1,1,35000,35000,4,11,20,1,1,1,1,1
33,1,7,2,1,75000,53033.00859,8,3,60,1,1,0,0,0
34,0,4,3,1,45000,25980.76211,1,6,10,1,1,1,0,1
35,1,2,4,0,25000,12500,5,9,2,1,1,0,0,0
36,0,4,4,0,45000,22500,2,7,10,1,1,0,1,1
37,1,6,4,1,65000,32500,2,8,15,1,1,0,0,0
40,0,5,3,1,55000,31754.26481,4,8,15,1,1,1,1,1
42,0,2,4,0,25000,12500,8,7,130,0,0,1,0,1
44,0,11,1,1,150000,150000,2,6,1,0,0,0,1,1
46,0,2,1,1,25000,25000,1.5,2,5,0,1,0,1,1
47,1,7,2,1,75000,53033.00859,8,6,60,1,1,0,0,0
48,0,2,1,1,25000,25000,7,5,20,1,1,1,1,1
49,1,2,4,0,25000,12500,6,7,60,0,1,0,0,0
50,0,6,3,1,65000,37527.7675,8,7,60,1,1,0,1,1
53,1,7,2,1,75000,53033.00859,4,4,30,1,1,0,0,0
54,0,0,1,0,5000,5000,1,6,3,0,1,0,0,0
55,1,0,5,0,5000,2236.067977,2,7,10,0,1,0,1,1
57,1,5,1,1,55000,55000,3,6,30,1,1,0,0,0
58,0,2,3,0,25000,14433.75673,5,11,20,0,1,0,1,1
