Subject,Large Acc,Age,Gender,eth,Income,House,Free hrs
6,0,38,m,white,4,2,8
7,1,20,m,african,3,3,9
8,0,34,f,White,9,2,8
9,1,57,f,white,4,4,2
10,0,24,m,white,0,1,4
11,1,32,m,white,5,2,15
12,0,59,f,White,0,1,3
13,1,47,f,Caucasian,11,2,8
14,0,21,f,White,4,2,9
15,1,19,m,black,10,4,5
17,1,50,f,Caucasian,1,1,6
18,0,59,m,white,1,1,12
19,1,34,f,mixed,0,1,10
20,0,39,f,white,0,3,2
22,0,35,m,White,10,2,2.5
23,1,26,m,Asian,1,1,24
24,0,53,f,caucasian,2,2,24
25,1,63,f,caucasion,2,1,7
26,0,33,m,white,3,4,2
27,1,22,f,caucasion,1,2,12
29,1,24,f,Asian,2,1,5
30,0,22,m,white,3,3,2
31,1,54,f,WHITE,5,2,5
32,0,33,f,white,3,1,4
33,1,30,f,White,7,2,8
34,0,33,f,african american,4,3,1
35,1,34,m,White,2,4,5
36,0,25,m,White,4,4,2
37,1,51,f,white,6,4,2
40,0,61,m,caucasian,5,3,4
42,0,35,m,Georgian,2,4,8
44,0,46,m,caucasian,11,1,2
46,0,43,m,White,2,1,1.5
47,1,55,f,white,7,2,8
48,0,54,m,HISPANIC,2,1,7
49,1,36,f,white,2,4,6
50,0,45,f,white,6,3,8
53,1,25,f,native american,7,2,4
54,0,20,m,1,0,1,1
55,1,33,m,INDIAN HINDU,0,5,2
56,0,34,m,white,10,5,2
57,1,51,f,Black,5,1,3
58,0,32,m,White,2,3,5
59,1,47,f,white,3,4,12
60,0,50,m,white,1,2,4
61,1,58,f,caucasian,5,2,12
62,0,22,m,Black,0,1,20
63,1,28,f,African American,2,2,1
64,0,31,m,white,4,2,2
65,1,26,m,"White, Italian",6,4,5
66,0,40,f,black,7,1,8
67,1,20,m,white,9,6,6
68,0,51,f,white/American,1,2,6
69,1,27,f,white,2,4,5
71,1,39,m,white,10,4,3
72,0,38,m,white,0,5,2
75,1,26,m,aaa,1,2,234
76,0,56,f,white/caucasin,5,2,6
78,0,24,m,ASIAN,0,5,5
79,1,64,f,white,3,4,4
80,0,24,f,white,2,3,5
81,1,77,f,white,3,2,8
82,0,28,m,white,6,2,2
84,0,27,f,white,4,5,5
85,1,37,f,White,4,3,1
86,0,23,m,white,1,4,2
87,1,24,m,Hispanic,2,2,2
88,0,45,m,White,11,3,1
89,1,50,f,Asian,4,4,7
90,0,30,f,Black,5,4,5
92,0,19,f,Asian,11,4,8
93,1,29,f,African-American,9,3,10
94,0,36,f,white,7,8,1
95,1,42,f,white,5,2,5
96,0,23,m,black,3,2,24
97,1,42,m,Hispanic,4,2,14
98,0,59,m,White,2,1,2
99,1,23,m,white,2,4,3.5
101,1,43,f,white,4,2,2
102,0,37,f,black,0,1,12
103,1,37,f,caucasian,2,3,1
104,0,66,m,white ,2,2,5
105,1,25,m,Caucasian,1,1,8.5
106,0,26,m,White,7,1,1.5
107,1,26,f,White,2,2,24
108,0,52,m,caucasian,9,2,8.5
109,1,20,m,Asian,4,5,4
110,0,53,f,caucasian,3,3,6
111,1,51,m,White,3,4,2
112,0,25,f,white,3,2,10
113,1,41,m,White,8,2,6
114,0,26,m,American,3,1,3
115,1,32,m,hispanic,6,3,4
116,0,32,f,European,1,3,5
117,1,33,m,White,6,2,7
119,1,22,f,white,10,5,4
120,0,28,m,Asian,8,4,5
122,0,22,m,Latin,9,3,10
123,1,31,f,White,10,3,2
124,0,27,m,Caucasian,2,2,4
125,1,34,f,white,5,3,0.5
126,0,60,f,Caucasian,4,3,3
127,1,47,f,white,2,2,5
128,0,41,f,White,4,2,4
129,1,60,f,white,1,1,20
130,0,47,m,hispanic,1,4,5
131,1,23,m,white,4,1,3
132,0,23,f,white,5,3,3
133,1,46,f,Asian,9,4,1
134,0,55,f,white,1,2,4
136,0,33,f,White,3,7,2
137,1,31,f,white,0,1,2
138,0,20,f,african american,3,4,12
139,1,20,m,hispanic,0,5,10
140,0,21,m,White,1,1,2
141,1,24,m,white,4,3,24
142,0,21,m,White,2,1,4
143,1,23,f,Caucasian,3,3,3
144,0,30,f,Asian,7,2,3
145,1,33,m,White,9,2,4
146,0,23,f,white,2,2,1
147,1,21,m,Asian,1,1,5
