subject,large,d1,d2,davg,split,cals,fat
2,1,1,1,1,0,16000,10
7,0,1,1,1,0,2000,11
14,1,1,1,1,0,13000,7
16,1,1,1,1,0,15000,1
17,0,1,1,1,0,1400,9
19,0,1,1,1,0,3000,9
26,1,1,1,1,0,14500,8
27,0,1,1,1,0,1500,9
37,0,1,1,1,0,1500,4
44,1,1,1,1,0,7000,10
63,0,1,1,1,0,2500,10
68,1,1,1,1,0,15000,9
69,0,1,1,1,0,1000,11
70,1,1,1,1,0,10000,5
78,1,1,1,1,0,20000,8
87,0,1,1,1,0,2000,10
92,1,1,1,1,0,5645,6
93,0,1,1,1,0,2500,8
94,1,1,1,1,0,14000,7
97,0,1,1,1,0,2400,10
100,1,1,1,1,0,17500,9
101,0,1,1,1,0,3000,7
102,1,1,1,1,0,18000,10
104,1,1,1,1,0,10000,7
106,1,1,1,1,0,14000,8
111,0,1,1,1,0,1200,9
114,1,1,1,1,0,17000,6
116,1,1,1,1,0,18000,8
120,1,1,1,1,0,20000,11
127,0,1,1,1,0,2400,9
129,0,1,1,1,0,2000,8
133,0,1,1,1,0,800,8
140,1,1,1,1,0,10500,5
154,1,1,1,1,0,18000,8
166,0,1,1,1,0,1600,11
169,1,1,1,1,0,10000,7
174,0,1,1,1,0,2000,10
183,1,1,1,1,0,15000,10
184,0,1,1,1,0,2400,10
190,0,1,1,1,0,2500,9
191,1,1,1,1,0,2000,1
199,1,1,1,1,0,20000,7
201,1,1,1,1,0,2100,10
205,1,1,1,1,0,11956,11
206,0,1,1,1,0,2500,11
212,0,1,1,1,0,2400,9
216,0,1,1,1,0,800,8
218,0,1,1,1,0,2000,8
224,0,1,1,1,0,1500,11
226,0,1,1,1,0,1500,8
236,0,1,1,1,0,2500,9
239,1,1,1,1,0,15000,7
242,0,1,1,1,0,2400,10
243,1,1,1,1,0,14000,8
245,1,1,1,1,0,17000,6
250,0,1,1,1,0,1500,11
12,1,2,1,1.5,0,16800,8
29,0,2,1,1.5,0,2400,7
36,1,2,1,1.5,0,6000,11
41,0,2,1,1.5,0,2500,9
47,0,2,1,1.5,0,2000,8
48,1,2,1,1.5,0,14000,10
49,0,2,1,1.5,0,2500,11
65,0,2,1,1.5,0,1100,6
66,1,2,1,1.5,0,12000,9
73,0,2,1,1.5,0,1000,10
80,1,2,1,1.5,0,8000,8
88,1,2,1,1.5,0,9000,9
89,0,1,2,1.5,0,1500,8
105,0,2,1,1.5,0,2200,9
107,0,2,1,1.5,0,1200,7
109,0,2,1,1.5,0,3000,9
141,0,2,1,1.5,0,2700,10
142,1,2,1,1.5,0,3000,9
149,0,2,1,1.5,0,1000,9
151,0,2,1,1.5,0,2000,11
162,0,2,1,1.5,0,2000,4
168,0,1,2,1.5,0,1000,8
179,1,2,1,1.5,0,"20,000",7
204,0,2,1,1.5,0,3000,7
214,0,2,1,1.5,0,2000,7
231,1,2,1,1.5,0,15000,9
244,0,2,1,1.5,0,1500,6
5,0,2,2,2,0,1200,6
23,0,3,1,2,0,3000,11
25,0,3,1,2,0,3000,8
31,0,2,2,2,0,2000,5
33,0,3,1,2,0,3500,7
35,0,3,1,2,0,1800,10
39,0,2,2,2,0,1500,8
54,1,2,2,2,0,17500,8
56,1,2,2,2,0,20000,10
67,0,2,2,2,0,1200,11
76,1,2,2,2,0,10000,8
83,0,2,2,2,0,2500,4
86,1,3,1,2,0,20000,8
90,1,1,3,2,0,27000,9
99,0,2,2,2,0,2200,9
126,1,2,2,2,0,28000,9
130,1,2,2,2,0,15400,7
144,1,2,2,2,0,14000,4
153,0,2,2,2,0,2500,9
156,1,3,1,2,0,21000,9
170,0,2,2,2,0,800,11
172,0,3,1,2,0,2200,10
175,1,2,2,2,0,10500,8
186,0,2,2,2,0,110,7
188,0,2,2,2,0,2000,6
195,1,3,1,2,0,700,6
197,1,2,2,2,0,15000,8
222,0,2,2,2,0,2500,11
32,1,2,3,2.5,0,12000,10
46,1,3,2,2.5,0,2500,9
50,1,2,3,2.5,0,14000,10
62,1,2,3,2.5,0,14000,5
71,0,4,1,2.5,0,2000,10
81,0,4,1,2.5,0,5000,8
91,0,2,3,2.5,0,2500,9
122,1,3,2,2.5,0,14000,8
150,1,3,2,2.5,0,13000,11
165,1,3,2,2.5,0,14000,9
173,1,3,2,2.5,0,300,2
181,1,2,3,2.5,0,2,3
202,0,4,1,2.5,0,1500,11
228,0,3,2,2.5,0,2000,8
230,0,2,3,2.5,0,3000,6
248,0,4,1,2.5,0,1600,8
249,1,2,3,2.5,0,2300,9
9,0,2,4,3,1,2500,9
28,1,3,3,3,1,20000,11
45,0,4,2,3,1,1000,9
51,0,3,3,3,1,2300,10
59,0,4,2,3,1,2000,11
77,0,3,3,3,1,3300,7
108,1,4,2,3,1,10500,8
124,1,4,2,3,1,5000,10
128,1,4,2,3,1,"10,500",11
131,0,2,4,3,1,1600,10
147,0,3,3,3,1,2000,8
152,1,3,3,3,1,9000,9
180,0,5,1,3,1,2000,9
196,0,5,1,3,1,1000,8
211,1,3,3,3,1,700,8
229,1,3,3,3,1,10000,11
13,0,3,4,3.5,1,800,9
57,0,3,4,3.5,1,2200,9
103,0,3,4,3.5,1,4000,11
115,0,5,2,3.5,1,1600,11
119,0,4,3,3.5,1,1800,11
157,0,3,4,3.5,1,1500,9
167,1,4,3,3.5,1,9000,7
198,0,3,4,3.5,1,500,8
221,1,3,4,3.5,1,5000,6
246,0,4,3,3.5,1,2000,11
3,0,4,4,4,1,1800,8
8,1,5,3,4,1,14000,10
22,1,4,4,4,1,10500,10
30,1,4,4,4,1,15000,10
34,1,5,3,4,1,14000,8
84,1,2,6,4,1,14000,7
85,0,4,4,4,1,1200,9
112,1,4,4,4,1,21000,10
113,0,3,5,4,1,"1,700",7
121,0,5,3,4,1,1200,7
134,1,5,3,4,1,15000,8
145,0,3,5,4,1,2000,8
146,1,5,3,4,1,14000,9
148,1,2,6,4,1,16000,7
176,0,4,4,4,1,2500,9
208,0,4,4,4,1,2000,6
208,0,4,4,4,1,2000,6
213,1,4,4,4,1,"100,000",10
234,0,4,4,4,1,1500,10
240,0,4,4,4,1,2500,1
241,1,5,3,4,1,3,7
15,0,5,4,4.5,1,1500,5
15,0,5,4,4.5,1,1500,5
43,0,5,4,4.5,1,1200,10
52,1,4,5,4.5,1,9000,7
75,0,5,4,4.5,1,3500,8
110,1,5,4,4.5,1,14000,11
171,1,4,5,4.5,1,12000,10
219,1,5,4,4.5,1,25,6
223,1,4,5,4.5,1,4,8
233,1,4,5,4.5,1,5000,10
24,1,6,4,5,1,21000,8
38,1,5,5,5,1,12000,10
58,1,5,5,5,1,9000,11
72,1,5,5,5,1,10500,6
98,1,6,4,5,1,8400,11
118,1,4,6,5,1,8400,11
164,0,5,5,5,1,2000,6
177,1,5,5,5,1,15000,10
178,0,5,5,5,1,2200,11
193,1,6,4,5,1,3000,10
194,0,3,7,5,1,1200,11
200,0,5,5,5,1,2000,11
207,1,5,5,5,1,22000,8
209,1,6,4,5,1,1400,8
237,1,5,5,5,1,"10,000",10
247,1,5,5,5,1,14000,8
20,1,6,5,5.5,1,14000,10
55,0,6,5,5.5,1,2200,10
123,0,7,4,5.5,1,1500,11
143,0,6,5,5.5,1,1200,10
163,1,6,5,5.5,1,14000,11
185,1,6,5,5.5,1,10000,10
192,0,6,5,5.5,1,200,9
21,0,6,6,6,1,1400,9
40,1,6,6,6,1,20000,11
79,0,7,5,6,1,1600,10
132,1,5,7,6,1,10000,10
135,0,6,6,6,1,1300,6
136,1,6,6,6,1,9000,10
138,1,7,5,6,1,14000,3
139,0,6,6,6,1,2000,8
182,0,6,6,6,1,2000,9
189,1,6,6,6,1,30,11
203,1,6,6,6,1,10000,6
227,1,7,5,6,1,7000,9
232,0,6,6,6,1,2100,9
235,1,6,6,6,1,11000,11
4,1,7,6,6.5,1,9500,10
