subject,cond,age,gender,eth,diethist,dietnow
1,0,55,m,hawaiian,7,7
2,1,37,m,white,1,1
3,0,23,f,white,4,4
4,1,51,f,white,7,6
5,0,23,f,Moorish American,2,2
6,1,23,f,white,7,6
7,0,26,f,caucasian,1,1
8,1,37,f,Caucasian,5,3
9,0,24,f,White,2,4
10,1,50,m,White,7,7
11,0,63,f,White,6,7
12,1,28,m,White,2,1
13,0,25,f,white,3,4
14,1,41,f,Caucasian,1,1
15,0,31,f,white,5,4
15,0,31,f,white,5,4
16,1,25,m,Caucasian,1,1
17,0,23,f,white,1,1
19,0,23,m,Asian,1,1
20,1,60,f,White,6,5
21,0,38,f,Hispanic,6,6
22,1,35,f,Asian,4,4
23,0,30,m,white,3,1
24,1,20,m,White,6,4
25,0,25,m,White,3,1
26,1,24,m,white,1,1
27,0,43,m,white,1,1
28,1,30,m,white,3,3
29,0,50,m,Asian,2,1
30,1,33,m,Caucasian,4,4
31,0,21,m,White,2,2
32,1,50,f,white,2,3
33,0,26,m,Asian,3,1
34,1,18,f,White,5,3
35,0,46,m,White/Hispanic,3,1
36,1,26,m,black,2,1
37,0,26,m,White,1,1
38,1,53,f,caucasian,5,5
39,0,27,f,Hispanic,2,2
40,1,35,m,white,6,6
41,0,34,f,white,2,1
43,0,21,f,White,5,4
44,1,60,f,white,1,1
45,0,22,f,asian,4,2
46,1,27,m,White,3,2
47,0,27,m,asian,2,1
48,1,53,f,white,2,1
49,0,31,m,White,2,1
50,1,23,m,Hispanic,2,3
51,0,30,m,spanish,3,3
52,1,25,f,Caucasian,4,5
54,1,22,m,Caucasian,2,2
55,0,27,m,White,6,5
56,1,23,m,Caucasian/White,2,2
57,0,33,m,White,3,4
58,1,57,f,white,5,5
59,0,23,m,Chinese,4,2
62,1,20,m,Hispanic,2,3
63,0,21,m,White,1,1
64,1,42,m,White,7,7
65,0,25,f,white,2,1
66,1,63,f,white,2,1
67,0,40,f,white,2,2
68,1,28,m,black,1,1
69,0,26,f,Caucasian ,1,1
70,1,25,m,White,1,1
71,0,22,f,white,4,1
72,1,28,m,White,5,5
73,0,27,f,Hispanic,2,1
75,0,22,m,Caucasian,5,4
76,1,30,f,White,2,2
77,0,27,m,White,3,3
78,1,25,m,White,1,1
79,0,30,f,Pacific Islander,7,5
80,1,25,m,White,2,1
81,0,27,f,black,4,1
83,0,26,m,Asian,2,2
84,1,32,m,Caucasian,2,6
85,0,23,f,white,4,4
86,1,22,m,asian,3,1
87,0,27,f,white,1,1
88,1,26,f,white,2,1
89,0,22,m,Asian,1,2
90,1,23,m,Asian,1,3
91,0,31,m,White/Caucasian,2,3
92,1,23,m,caucasian,1,1
93,0,38,m,White,1,1
94,1,21,m,Asian,1,1
97,0,30,m,White,1,1
98,1,22,f,white,6,4
99,0,22,f,White,2,2
100,1,20,m,White,1,1
101,0,24,m,white,1,1
102,1,36,f,Asian,1,1
103,0,20,m,White (Caucasian),3,4
104,1,22,m,White/Caucasian,1,1
105,0,26,m,asian,2,1
106,1,20,m,Pacific Islander,1,1
107,0,32,m,Caucasian,2,1
108,1,41,m,White,4,2
109,0,32,m,Caucasian,2,1
110,1,62,f,white,5,4
111,0,25,f,middle eastern,1,1
112,1,28,m,white,4,4
113,0,25,m,White,3,5
114,1,18,m,White,1,1
115,0,49,f,Caucasian,5,2
116,1,23,f,Native American and Pacific Islander,1,1
117,0,28,f,caucasian,7,7
118,1,22,f,Caucasian ,4,6
119,0,21,m,white,4,3
120,1,28,m,caucasian,1,1
121,0,21,m,White,5,3
122,1,36,f,Bi racial,3,2
123,0,42,f,white,7,4
124,1,24,m,Chinese,4,2
125,0,36,m,white,6,7
126,1,25,m,Caucasian,2,2
127,0,27,m,Caucasian,1,1
128,1,33,f,White,4,2
129,0,52,m,euro white,1,1
130,1,23,m,White,2,2
131,0,29,f,Caucasian,2,4
132,1,31,f,White,5,7
133,0,46,f,black,1,1
134,1,25,m,White,5,3
135,0,32,f,indian,6,6
136,1,52,f,White,6,6
137,0,26,m,Hispanic,7,7
138,1,38,m,white,7,5
