Subject,Cond,smborrow,smpoints
16,2,0,0
24,2,27,1
48,2,23,1
50,0,0,1
42,0,12,2
64,2,16,2
10,0,23,3
28,2,0,3
32,2,19,3
54,0,26,3
58,0,0,3
62,0,10,3
74,0,12,3
100,2,25,3
34,0,15,4
40,2,22,4
59,1,0,4
66,0,7,4
68,2,18,4
102,0,10,4
106,0,13,4
38,0,12,5
46,0,20,5
80,2,19,5
84,2,16,5
92,2,26,5
8,2,7,6
18,0,12,6
26,0,16,6
78,0,15,6
110,0,10,6
44,2,10,7
86,0,5,7
3,1,0,8
89,2,11,8
108,2,7,8
6,0,7,9
22,0,11,9
65,3,0,9
72,2,19,9
105,3,4,9
109,3,0,9
17,3,8,10
19,1,26,10
60,2,2,10
77,3,18,10
82,0,7,10
88,3,17,10
103,1,3,10
20,2,9,11
13,3,12,12
43,1,3,12
45,3,15,12
49,3,0,12
71,1,5,12
73,3,12,12
87,1,0,12
97,3,13,12
99,1,0,12
29,3,19,13
33,3,6,13
47,1,21,13
93,3,0,13
5,3,22,14
9,3,5,14
37,3,9,14
61,3,2,14
63,1,27,14
79,1,16,14
39,1,22,15
107,1,27,15
11,1,7,17
35,1,5,18
55,1,2,18
