Subject,Cond,Slack,Large,tmest,expense,error
6,0,0,0,15,10,0
10,0,0,0,15,7,0
18,0,0,0,15,11,0
22,0,0,0,7,9,0.533333333
26,0,0,0,15,4,0
34,0,0,0,15,11,0
38,0,0,0,15,5,0
42,0,0,0,15,9,0
46,0,0,0,10,6,0.333333333
50,0,0,0,40,10,1.666666667
54,0,0,0,10,11,0.333333333
58,0,0,0,60,1,3
62,0,0,0,15,11,0
66,0,0,0,10,7,0.333333333
74,0,0,0,15,9,0
78,0,0,0,15,11,0
82,0,0,0,15,7,0
86,0,0,0,10,11,0.333333333
102,0,0,0,15,7,0
106,0,0,0,15,11,0
110,0,0,0,10,7,0.333333333
8,2,0,1,75,11,0
16,2,0,1,115,11,0.533333333
20,2,0,1,75,7,0
24,2,0,1,75,8,0
28,2,0,1,75,8,0
32,2,0,1,75,7,0
40,2,0,1,75,6,0
44,2,0,1,60,9,0.2
48,2,0,1,45,11,0.4
60,2,0,1,75,10,0
64,2,0,1,30,6,0.6
68,2,0,1,75,11,0
72,2,0,1,75,8,0
80,2,0,1,75,11,0
84,2,0,1,75,11,0
89,2,0,1,75,8,0
92,2,0,1,90,7,0.2
100,2,0,1,75,11,0
108,2,0,1,75,9,0
3,1,1,0,50,8,0
11,1,1,0,50,7,0
19,1,1,0,50,8,0
35,1,1,0,50,8,0
39,1,1,0,4,11,0.92
43,1,1,0,50,8,0
47,1,1,0,50,8,0
55,1,1,0,250,9,4
59,1,1,0,30,8,0.4
63,1,1,0,50,9,0
71,1,1,0,50,9,0
79,1,1,0,50,7,0
87,1,1,0,50,10,0
99,1,1,0,50,8,0
103,1,1,0,30,7,0.4
107,1,1,0,250,8,4
5,3,1,1,250,9,0
9,3,1,1,50,7,0.8
13,3,1,1,100,7,0.6
17,3,1,1,200,4,0.2
29,3,1,1,210,4,0.16
33,3,1,1,250,11,0
37,3,1,1,225,5,0.1
45,3,1,1,38,8,0.848
49,3,1,1,320,6,0.28
61,3,1,1,250,9,0
65,3,1,1,250,7,0
73,3,1,1,300,9,0.2
77,3,1,1,250,3,0
88,3,1,1,50,8,0.8
93,3,1,1,250,4,0
97,3,1,1,250,4,0
105,3,1,1,250,8,0
109,3,1,1,250,4,0
