Subject,Age,Gender,Ethnicity
3,39,m,Asian Indian
5,39,f,white
6,31,m,white
8,21,f,African-American
9,28,m,black
10,41,m,White
11,34,f,white
13,26,f,whie
16,42,f,white
17,31,m,White
18,20,f,white
19,28,f,white
20,30,f,caucasian
22,23,f,black
24,44,f,hispanic
26,22,f,White
28,23,m,White
29,38,f,white
32,26,f,white
33,36,f,White
34,26,f,White
35,25,f,white
37,26,f,White
38,44,m,White
39,52,f,black
40,41,m,mixed
42,41,f,white
43,32,f,Black
44,20,f,White
45,18,m,White
46,20,f,Caucasian
47,37,f,White
48,25,m,White
49,21,f,White
50,20,f,White
54,25,f,Black
55,28,f,White
58,47,f,White
59,23,f,white
60,25,m,white
61,44,m,White
62,37,f,white
63,32,f,White
64,26,m,white
65,19,m,White
66,25,m,white
68,24,f,white
71,53,f,american/caucasian
72,32,m,White
73,35,m,caucasian
74,19,m,multiracial
77,20,m,White
78,33,f,White
79,52,f,caucasian
80,33,f,white
82,57,f,caucasian
84,28,m,white
86,26,f,white
87,50,f,white
88,47,m,Caucasian
89,39,f,White
92,32,m,White
93,28,f,White
97,33,f,white
99,46,f,Caucasian
100,32,f,White
102,30,m,Male
103,42,m,Caucasian
105,20,m,Caucasian
106,32,m,white
107,,f,White
108,29,m,Asian
109,26,m,White
110,40,f,white
