Subject,Cond,Round,Start,Borrow,Points,Guess,Used
3,1,1,50,0,1,5,49
3,1,2,50,0,1,9,48
3,1,3,50,0,2,10,46
3,1,4,50,0,2,11,49
3,1,5,50,0,2,7,0
5,3,1,50,11,2,4,61
5,3,2,45,8,2,4,53
5,3,3,39,0,5,5,30
5,3,4,44,3,3,6,47
5,3,5,37,0,2,5,0
6,0,1,15,3,3,4,18
6,0,2,14,1,2,5,15
6,0,3,13,0,1,2,12
6,0,4,13,3,3,5,16
6,0,5,7,0,0,2,0
8,2,1,15,0,2,2,15
8,2,2,15,0,1,3,15
8,2,3,15,2,1,3,17
8,2,4,13,5,2,4,18
8,2,5,3,0,0,0,0
9,3,1,50,5,3,8,55
9,3,2,48,0,3,8,48
9,3,3,48,0,2,8,45
9,3,4,49,0,3,8,48
9,3,5,49,0,3,8,0
10,0,1,15,11,1,2,26
10,0,2,10,12,2,3,22
10,0,3,2,0,0,0,0
11,1,1,50,3,3,9,53
11,1,2,49,0,4,10,20
11,1,3,50,0,5,11,42
11,1,4,50,4,1,11,54
11,1,5,50,0,4,7,0
13,3,1,50,4,2,5,54
13,3,2,48,4,3,6,52
13,3,3,46,2,1,3,48
13,3,4,43,2,2,6,45
13,3,5,39,0,4,7,0
16,2,1,15,0,,3,0
17,3,1,50,3,1,4,53
17,3,2,49,1,2,7,50
17,3,3,48,4,3,8,52
17,3,4,44,0,1,2,42
17,3,5,45,0,3,6,0
18,0,1,15,9,2,7,24
18,0,2,11,0,1,4,9
18,0,3,11,3,1,5,14
18,0,4,8,0,2,7,0
19,1,1,50,6,2,4,56
19,1,2,47,3,1,3,50
19,1,3,45,12,2,3,57
19,1,4,33,5,3,5,38
19,1,5,23,0,2,2,0
20,2,1,15,3,2,3,18
20,2,2,14,3,2,4,17
20,2,3,12,2,3,5,14
20,2,4,9,1,3,3,10
20,2,5,7,0,1,2,0
22,0,1,15,3,1,5,18
22,0,2,14,5,2,6,19
22,0,3,10,3,2,2,13
22,0,4,7,0,1,1,6
22,0,5,8,0,3,3,0
22,0,5,8,0,0,0,0
24,2,1,15,27,1,2,42
24,2,2,2,0,0,0,0
26,0,1,15,0,2,6,11
26,0,2,15,0,1,3,11
26,0,3,15,16,3,3,31
26,0,4,3,0,0,0,0
28,2,1,15,0,3,5,0
29,3,1,50,10,1,7,60
29,3,2,45,0,3,13,40
29,3,3,47,2,2,6,49
29,3,4,45,7,4,9,52
29,3,5,30,0,3,5,0
32,2,1,15,13,2,5,28
32,2,2,9,6,1,2,15
