Subject,Cond,Age,Gender,Race,Income,House
1,1,23,m,white,2,3
2,0,56,f,white,3,3
3,1,47,f,White,10,5
4,0,22,f,White,0,1
5,1,28,m,White,5,3
6,0,45,f,white,3,3
7,1,48,m,White,2,1
8,0,19,m,White,0,4
9,1,49,m,caucasion,3,2
11,1,21,m,caucasion,10,4
12,0,23,f,ASIAN,5,5
13,1,49,m,White,3,1
14,0,40,f,African American,7,3
17,1,24,m,white,10,1
15,1,40,f,Asian,9,4
18,0,26,f,Asian American,5,2
19,1,53,m,white,3,7
20,0,31,f,white,4,3
21,1,55,f,Caucasian,6,2
22,0,21,f,Caucasian,1,1
23,1,22,f,asian,3,1
24,0,24,m,White,4,1
26,0,48,f,WHITE,4,5
27,1,49,f,white,5,2
28,0,25,f,black,3,1
29,1,41,m,caucasian,3,4
30,0,22,m,White American,11,6
31,1,32,f,white,2,4
32,0,24,f,white,7,3
33,1,39,f,asian,5,4
34,0,24,m,White,2,4
35,1,52,f,White,0,1
36,0,32,m,Asian,6,4
37,1,23,m,White,10,5
38,0,36,m,caucasian,8,4
39,1,19,m,white,8,3
40,0,32,f,White,9,6
41,1,53,m,white,3,1
42,0,26,f,Black,2,1
43,1,32,f,White,10,3
44,0,29,f,white,10,2
45,1,20,m,White,1,2
47,1,31,m,white,7,3
46,0,25,f,white,4,3
48,0,41,m,white,9,2
49,1,25,m,Caucasian,0,1
50,0,21,m,White,4,2
51,1,31,f,White,3,2
52,0,37,m,black,11,6
53,1,49,f,caucasian,4,2
54,0,28,f,white,5,2
55,1,25,m,white,2,1
56,0,27,m,White,5,2
57,1,20,f,black,0,3
58,0,24,m,White,6,11
59,1,26,m,White,3,2
60,0,19,m,White,10,4
61,1,29,f,White,10,2
62,0,34,m,white,9,1
63,1,33,m,white,4,2
64,0,22,f,Caucasian,2,3
65,1,23,m,white,0,3
67,1,28,m,white,4,2
68,0,19,f,Caucasian ,10,6
69,1,21,m,hispanic,2,4
70,0,29,f,white,6,2
71,1,21,f,White,3,4
72,0,35,f,Asian,7,3
73,1,29,f,white,2,2
74,0,23,m,latino,8,4
75,1,21,f,white,5,3
77,1,34,m,white,4,3
78,0,29,f,white,2,4
79,1,24,f,Asian American,0,1
80,0,44,m,Caucasian,2,2
81,1,27,f,black,4,3
82,0,25,f,White,4,1
83,1,23,f,white,2,1
84,0,29,m,White,10,4
86,0,79,f,Caucasian,9,1
87,1,59,f,white,0,2
88,0,23,m,arab,1,6
89,1,44,f,White/Native American,3,2
90,0,50,f,white,1,1
91,1,59,f,white,4,5
92,0,28,m,Asian,1,2
93,1,29,f,Asian,5,2
94,0,23,m,Asian/Caucasian,0,1
95,1,24,m,white,3,1
96,0,36,m,Latino,7,2
97,1,33,f,White,7,2
98,0,27,m,white,4,0
99,1,18,m,White,11,4
100,0,26,m,Chinese American,5,1
101,1,34,m,White,5,4
102,0,25,m,white,3,5
103,1,35,f,white,11,5
104,0,55,f,White,8,3
105,1,35,f,white,10,3
106,0,29,f,white,6,2
111,1,50,f,caucasian,10,4
114,0,36,f,Caucasian,10,5
112,0,29,m,white,3,1
115,1,31,f,White,10,3
113,1,18,m,white,10,3
116,0,21,f,white,4,3
117,1,35,f,White.Caucasion,1,2
119,1,50,m,white,7,2
118,0,57,m,Caucasian,2,1
120,0,46,m,white,0,1
121,1,38,m,White,10,4
123,1,29,f,caucasian,7,3
122,0,37,m,white,3,2
124,0,42,f,Caucasian,4,4
125,1,52,m,Caucasian,2,2
126,0,30,m,Hispanic,3,1
127,1,40,m,white,9,5
128,0,30,m,white,9,2
129,1,56,m,White,1,2
130,0,18,f,White/Brazilian,3,4
131,1,28,f,Mixed,0,1
132,0,34,f,White,2,4
133,1,51,f,Caucasian,9,4
134,0,27,f,white,1,3
135,1,45,m,Caucasian / White,11,4
136,0,20,f,Caucasian,2,3
137,1,18,f,Asian,4,4
138,0,50,f,Caucasian,3,3
139,1,47,f,Caucasian,7,4
140,0,28,m,White,6,3
142,0,52,m,White,5,2
143,1,66,m,Caucation,5,2
144,0,30,m,White,4,1
145,1,48,f,Caucasian,7,2
146,0,21,m,White,5,3
147,1,49,f,white,10,2
148,0,20,f,Filipino,0,0
149,1,26,m,White,4,2
150,0,27,f,caucation,4,4
152,0,26,m,White,1,2
151,1,30,m,white,2,3
153,1,34,f,caucasion,8,2
154,0,21,m,White,4,1
155,1,29,m,White,6,7
156,0,30,m,White,7,2
157,1,22,m,Japanese,1,3
158,0,37,m,Caucasian,10,4
159,1,19,f,white,3,2
160,0,26,f,Caucasian,2,2
161,1,22,m,White,10,5
162,0,20,f,white,6,2
,,32.94039735,75,,4,3
,,,76,,,
