subject,cond,age,gender,eth,inc,house,edu
1,0,29,m,white,3,2,4
2,1,28,f,white,4,5,2
3,2,42,m,white,10,4,6
4,3,29,m,Caucasian,3,2,1
5,4,32,m,Caucasion,3,3,4
6,5,29,f,white,0,2,1
7,6,46,f,White,3,2,4
8,7,35,f,Caucasian,6,2,2
9,0,39,f,WHITE,5,5,3
10,1,29,m,Caucasian,2,10,2
11,2,27,f,white,9,2,2
12,3,27,m,White/Caucasian,8,2,2
13,4,36,m,white,3,1,4
14,5,42,f,white,11,3,3
15,6,26,m,asian,2,1,4
16,7,38,f,Caucasian,0,2,2
17,0,29,m,Caucasian/Asian,4,3,2
18,1,21,m,white,10,5,2
19,2,37,m,Caucaisan,3,2,2
20,3,34,m,African American,5,3,4
21,4,28,m,Caucasian,4,2,4
22,5,26,m,white,0,1,2
23,6,19,m,Black,0,3,2
24,7,24,m,Caucasian,3,3,3
25,0,18,m,White,0,1,2
26,1,23,m,White,7,3,4
27,2,23,m,hispanic,3,3,2
28,3,21,m,Asian,11,6,4
29,4,44,m,white,8,4,4
30,5,22,m,African American,2,3,4
31,6,27,m,White,0,2,2
32,7,27,f,Caucasion,3,3,4
33,0,25,m,White,4,2,2
34,1,24,m,Asian,6,3,4
35,2,28,m,white,0,2,2
36,3,24,m,Hispanic,3,4,4
37,4,33,m,caucasian,7,3,4
38,5,26,m,Caucasian,10,2,4
39,6,25,m,Mixed Asian/White,2,1,2
40,7,25,m,African American,4,6,4
41,0,26,m,White,3,4,2
42,1,24,m,White,2,1,5
43,2,27,f,white,3,1,2
44,3,62,m,white,3,2,2
45,4,35,m,White,2,3,1
46,5,21,m,White,0,1,2
47,6,23,m,white,2,1,3
48,7,21,m,Caucasian,0,4,2
49,0,23,m,White,5,2,5
50,1,24,f,white,4,3,2
51,2,22,m,Hispanic,3,6,2
52,3,24,m,caucasian,2,1,3
53,4,25,m,Caucasian,4,2,4
54,5,29,m,White,1,1,2
55,6,32,m,White,6,3,4
56,7,51,f,Caucasian,1,2,1
57,0,29,f,White,6,3,4
58,1,25,m,White,1,0,2
59,2,25,m,asian,8,3,4
60,3,27,f,White,2,1,4
61,4,31,m,Caucasian,1,2,4
62,5,25,m,White,10,2,4
63,6,34,m,caucasian,2,2,2
64,7,32,f,White,2,2,4
65,0,22,m,White,4,2,4
66,1,24,m,Caucasian,5,1,4
67,2,37,m,White,5,5,3
68,3,20,m,White,8,3,2
69,4,34,m,White,5,3,4
70,5,32,m,white,2,4,3
71,6,42,m,caucasian,0,1,4
72,7,23,m,Caucasian,0,1,4
73,0,22,m,Hispanic,7,2,2
74,1,22,m,White,8,6,2
76,3,54,f,white,2,2,1
77,4,30,m,African,1,1,4
78,5,27,f,Caucasian,4,2,4
79,6,22,f,caucasian,4,2,2
80,7,26,m,Asian,5,3,6
81,0,23,m,White/Caucasian,5,3,2
82,1,26,f,Asian,5,1,5
83,2,64,m,white,10,2,6
84,3,32,f,white,4,2,1
85,4,21,m,white,1,1,2
86,5,26,m,Caucasian,3,4,1
87,6,37,m,White,10,3,6
88,7,24,m,Taiwanese,8,1,6
89,0,25,f,caucasian,7,2,6
90,1,37,f,Caucasian,1,5,2
91,2,35,f,white,7,3,4
92,3,27,m,White,0,3,1
93,4,23,m,White,2,5,4
94,5,23,m,White,3,1,4
95,6,35,f,caucasian,2,4,2
96,7,24,m,white,5,2,4
97,0,21,f,White,10,5,2
98,1,23,f,caucasian,0,4,2
99,2,39,m,white,10,4,5
100,3,31,f,African American,4,5,4
101,4,26,f,Black,3,3,4
102,5,27,m,white,4,2,4
103,6,26,m,white,8,2,2
104,7,24,m,White,5,3,4
105,0,21,m,WHITE,11,3,4
106,1,35,m,Caucasian,8,4,2
107,2,27,m,Caucasian,1,1,0
108,3,21,m,white,2,8,1
109,4,26,m,African American,5,3,3
110,5,27,m,Caucasian,7,2,4
111,6,20,m,Asian,3,3,2
112,7,28,f,white,1,2,4
113,0,21,m,White,1,2,2
114,1,44,f,anglo saxon,1,3,4
115,2,46,m,White,8,3,2
116,3,42,m,white,0,1,4
117,4,25,f,white,2,3,1
118,5,18,m,White,3,5,4
119,6,27,m,White,7,2,4
120,7,40,m,Asian,1,1,4
121,0,30,f,Caucasian,5,4,4
122,1,23,m,white/caucasian,3,3,3
123,2,42,f,caucasian,1,1,6
124,3,36,m,Caucasian,7,2,4
125,4,40,f,white,7,5,4
126,5,31,m,white,2,1,3
127,6,19,m,WHITE,10,3,2
128,7,26,m,white,3,1,4
129,0,30,f,white,3,4,2
130,1,30,m,White,3,2,0
131,2,24,m,white,1,2,5
132,3,23,f,White/Hispanic,2,2,5
133,4,34,m,white,7,4,2
134,5,30,f,white,4,5,1
135,6,25,f,white,2,4,4
136,7,26,m,white,5,1,4
137,0,33,f,white,3,4,1
138,1,31,m,asian,9,1,6
139,2,20,m,White,10,4,2
140,3,27,m,white,4,2,4
141,4,27,m,White,4,5,2
142,5,27,m,Caucasian,2,2,2
143,6,50,m,White,0,3,4
144,7,32,m,White,6,3,3
145,0,26,m,White,4,1,3
146,1,27,m,white,3,2,2
147,2,32,f,Asian,2,3,2
148,3,27,m,white,6,2,4
149,4,31,f,white,4,3,6
150,5,49,f,Caucasian,7,5,3
151,6,33,m,white,3,1,6
152,7,28,m,White,6,1,4
153,0,24,m,White,8,2,4
154,1,23,m,Filipino,4,5,4
155,2,22,m,Caucasian,2,4,1
156,3,24,f,White,5,2,4
157,4,18,m,White/Asian,3,4,2
158,5,37,m,White,6,3,4
159,6,26,m,White,2,1,4
160,7,24,m,White,7,2,4
161,0,22,f,White,5,3,5
162,1,38,f,white,1,2,4
163,2,21,m,Black,6,3,2
164,3,26,m,White,3,3,3
166,5,28,m,White,2,0,4
167,6,21,f,Caucasian,5,2,2
168,7,33,m,white,10,2,6
169,0,34,f,white,5,3,4
170,1,28,m,White,0,2,6
171,2,67,f,American,4,2,4
172,3,35,f,Caucasian,3,3,3
173,4,19,m,white,10,4,2
174,5,38,m,White,8,2,4
175,6,27,m,white,3,1,4
176,7,34,f,white,2,5,2
178,1,27,m,white,4,3,4
179,2,32,f,hispanic,5,2,2
180,3,25,m,asian,8,1,4
181,4,20,m,Hispanic,2,4,2
182,5,20,m,white,7,2,2
183,6,27,f, Caucasian,1,1,3
184,7,32,m,White,6,4,2
185,0,30,m,white,2,2,2
186,1,42,f,Asian,4,5,4
187,2,31,m,white,0,3,2
188,3,35,m,White,5,3,4
189,4,36,m,Caucasian,1,3,1
190,5,29,f,caucasian,4,1,6
191,6,35,f,white,3,7,1
192,7,27,m,White,4,2,2
193,0,27,m,white,3,3,3
194,1,25,m,White,4,1,4
195,2,36,m,african american,5,2,4
196,3,45,f,caucasian,6,4,3
197,4,30,m,LATINO,7,2,4
198,5,34,m,WHIET,8,2,2
199,6,25,m,White,2,4,4
200,7,20,m,Hispanic,10,4,2
201,0,31,m,white,10,4,4
202,1,34,m,White,3,8,3
203,2,22,f,asian,3,1,4
204,3,24,m,black and korean ,3,2,2
205,4,24,m,white,3,1,6
206,5,27,m,White,2,2,4
208,7,40,f,caucasian,6,3,4
209,0,35,f,white,3,4,6
210,1,19,m,Asian,2,3,2
211,2,28,m,White,9,2,2
212,3,34,m,White,4,2,2
213,4,25,f,white,1,1,4
214,5,23,f,white,4,4,2
215,6,19,m,White,3,5,1
216,7,23,m,Asian Pacific Islander,0,7,0
217,0,40,m,Black,2,2,4
218,1,22,f,white,0,2,3
219,2,29,m,white,9,2,6
220,3,42,f,native american,2,5,4
221,4,26,m,Black,3,2,2
222,5,23,m,White,0,4,2
223,6,23,f,White,3,3,2
224,7,33,f,white,5,4,4
225,0,20,m,Asian,3,4,2
226,1,36,f,white,2,1,4
227,2,56,f,white,5,1,4
228,3,29,m,White,0,1,1
229,4,20,m,White,1,5,2
230,5,27,f,White,8,2,4
231,6,25,m,caucasian,1,1,2
232,7,27,f,Caucasian,5,2,1
233,0,27,m,White,10,3,4
234,1,24,m,white,5,2,5
235,2,24,f,Caucasian,4,2,2
236,3,26,m,Black,6,3,2
237,4,27,m,White,4,2,4
238,5,29,f,white,2,1,4
239,6,40,m,asian,7,1,4
240,7,27,f,caucasian,1,1,6
241,0,23,m,White,7,3,4
242,1,18,m,White,0,1,2
243,2,22,m,Caucasian,8,8,2
244,3,18,m,ASIAN,0,1,2
245,4,22,m,white,2,2,5
246,5,45,f,African American,3,4,4
247,6,22,f,white,4,2,2
248,7,46,f,White/European-American,2,5,2
249,0,37,m,ASIAN,6,1,4
250,1,33,m,Caucasian,6,4,4
251,2,54,f,Caucasian,3,2,2
252,3,28,f,Caucasian,8,2,6
253,4,24,m,white,4,1,4
254,5,29,m,white,4,5,2
255,6,18,m,Asian,1,1,2
256,7,40,m,White,7,3,3
257,0,36,f,White Caucasian,5,1,4
258,1,34,f,White,4,2,4
259,2,38,m,White,7,3,4
260,3,37,m,Asian,5,2,4
261,4,22,f,White,0,3,2
262,5,26,f,white,2,3,2
263,6,26,f,Hispanic,4,2,4
264,7,28,f,White,5,4,4
265,0,,m,white,2,1,2
266,1,36,f,White,10,2,4
267,2,23,m,Hispanic,5,5,4
268,3,21,f,White,6,4,2
269,4,21,m,White,5,3,2
270,5,28,m,White,2,4,4
