number,subjID,cond,age,gender,eth,inc,house,edu
719,6mGGovzyvCU_75WPdp6k5w**,0,36,f,asian,5,2,6
922,6mGGovzyvCU_Rui0YsLjpw**,11,23,m,White,2,5,1
293,6mGGovzyvCU_tG_gJY1EtQ**,6,45,f,Caucasian,8,4,2
329,6mGGovzyvCU_WogCKugdBA**,5,22,f,White,0,0,4
732,6mGGovzyvCU0gLB8ZA4HtA**,1,29,f,White,2,5,1
214,6mGGovzyvCU0pqfzCxU1UA**,9,56,f,black,7,4,2
949,6mGGovzyvCU0q3pHXRGK6A**,2,49,m,white,8,4,6
113,6mGGovzyvCU0T2qbXjtjpg**,5,58,f,white,4,2,3
333,6mGGovzyvCU17moWchGNhg**,10,37,m,asian,7,3,4
251,6mGGovzyvCU1galMrgpTAg**,11,23,f,Vietnamese/White,10,4,2
556,6mGGovzyvCU-1rW4kc_pMA**,4,31,f,White,7,1,5
857,6mGGovzyvCU1ThdEWm0EJg**,5,55,f,white,4,6,3
399,6mGGovzyvCU1u0YS5J-cnw**,3,38,f,Asian,9,4,5
447,6mGGovzyvCU1XtuotVeQVg**,4,30,f,white,1,5,1
558,6mGGovzyvCU1yctZdZ9hbg**,6,18,f,White,9,4,2
206,6mGGovzyvCU2CVeD0-YtVw**,3,29,m,White,10,2,4
362,6mGGovzyvCU2DbIg_NRQ7Q**,3,31,f,Black,5,3,4
970,6mGGovzyvCU2dE5G8MwG1w**,11,30,m,other,7,1,5
203,6mGGovzyvCU2hL9tfq3CUA**,0,41,m,Caucasian,1,1,2
328,6mGGovzyvCU2i7gcPxJZKQ**,5,39,m,white,11,4,6
833,6mGGovzyvCU2k4Gvvj_V4w**,6,36,m,Hispanic & White,1,2,2
100,6mGGovzyvCU2LbSsYtBEUw**,5,51,m,White,10,4,5
709,6mGGovzyvCU2SLCH8nHLoA**,1,28,f,native american ,4,4,2
842,6mGGovzyvCU2urHpHeRIFw**,3,22,f,Caucasian,10,2,4
369,6mGGovzyvCU-340upqAn_g**,10,24,m,White,1,1,2
318,6mGGovzyvCU36bEl9jGrXg**,7,19,f,White ,2,4,0
353,6mGGovzyvCU36UFYW2gexg**,6,18,m,White/Asian,10,4,2
180,6mGGovzyvCU3a9g6vQDgqQ**,11,52,f,white,3,5,1
428,6mGGovzyvCU3o5ai0-JNWg**,9,53,f,asian,6,6,4
150,6mGGovzyvCU3vlAhe1B4Yg**,7,22,m,White,4,1,2
77,6mGGovzyvCU40mo8RrpAjQ**,4,50,f,white,7,2,2
373,6mGGovzyvCU4cFj43d2Dbg**,1,25,f,white,2,3,2
348,6mGGovzyvCU4mP0ryiFn9w**,1,36,f,White,3,4,2
142,6mGGovzyvCU4mZZIGiYkCw**,10,55,f,white/caucasian,3,1,3
228,6mGGovzyvCU4tFnpj9x48g**,0,41,f,hispanic,6,1,4
275,6mGGovzyvCU4TZn8ZqWGlg**,0,24,m,Hispanic and White,1,4,5
653,6mGGovzyvCU50wFmS1s2cw**,5,42,m,White,6,5,4
205,6mGGovzyvCU53oXW6PDyXA**,0,30,f,white,3,1,4
162,6mGGovzyvCU5C86829kTsQ**,6,21,m,white,10,4,5
322,6mGGovzyvCU5qivy6z5jEg**,10,49,f,Caucasian,10,2,2
271,6mGGovzyvCU5W_0Ft3QO2w**,8,52,f,black,0,1,2
634,6mGGovzyvCU5-XjcaMmiCA**,11,59,f,Hispanic,7,2,2
349,6mGGovzyvCU6AczW9z_zdw**,1,41,f,white,4,3,1
148,6mGGovzyvCU6dwwbXloRZA**,5,28,m,Caucasian,2,3,4
945,6mGGovzyvCU6LDPhyyRGdg**,9,55,f,African American,5,4,4
862,6mGGovzyvCU6mrpqTQM9DQ**,10,28,f,White,3,4,5
256,6mGGovzyvCU6NCtA-m5kww**,4,54,m,white,10,4,5
827,6mGGovzyvCU6rQkbvlYjoQ**,11,58,f,caucasian,2,2,2
410,6mGGovzyvCU6TOhLgN9F6A**,3,41,f,white,5,6,0
863,6mGGovzyvCU6U_spVFjSIg**,0,33,m,Asian Indian,11,3,6
475,6mGGovzyvCU7EzYxfEeo9w**,7,21,f,white,,4,3
493,6mGGovzyvCU7gwIw_np0aA**,1,54,m,WHITE,10,2,4
457,6mGGovzyvCU7s9fbjRBPUg**,1,22,m,Asian,4,3,4
340,6mGGovzyvCU7Wik2yn5BVQ**,5,55,f,caucasian,8,2,4
706,6mGGovzyvCU7XLGc66LSpg**,11,21,f,White,0,2,2
395,6mGGovzyvCU8_Qi1sPjCFQ**,0,21,f,White,10,4,2
649,6mGGovzyvCU8fEfd-PZXGA**,1,56,m,English,10,2,3
264,6mGGovzyvCU8rszrErUdcA**,0,58,f,white,10,2,5
433,6mGGovzyvCU8VJFwSoIsjw**,1,26,m,Caucasian,3,4,1
119,6mGGovzyvCU8yFgI7F36Dw**,11,41,f,white/caucasian,3,4,1
508,6mGGovzyvCU9EeW2emZwEQ**,4,40,f,White,3,2,2
851,6mGGovzyvCU9EmqDy4bbMw**,11,32,m,White,0,2,0
663,6mGGovzyvCU9ie0mz0qJhg**,4,26,f,white,3,3,4
464,6mGGovzyvCU9O-Yzx5zl4A**,9,49,m,asian,4,1,6
935,6mGGovzyvCU9qovq_LnJRQ**,11,29,f,white,6,2,4
229,6mGGovzyvCU9SmEGQCKwEg**,2,30,m,white,1,1,4
317,6mGGovzyvCU-9XH4gKsU_g**,5,58,f,white,6,2,3
498,6mGGovzyvCU9xRjAPGFtHQ**,6,44,f,White,3,4,1
253,6mGGovzyvCU9YLvK1YhJjQ**,1,31,m,white,4,2,2
955,6mGGovzyvCUa_j2Jo51_Ow**,8,43,m,White,10,4,4
242,6mGGovzyvCUa46VEp0pM5Q**,2,43,m,white,6,1,5
165,6mGGovzyvCUa4E5pc4Rxdg**,8,48,f,white,2,1,4
582,6mGGovzyvCUA5pYJ1YUI-w**,6,44,m,white,10,4,3
523,6mGGovzyvCUABMk5viQo2w**,8,29,f,caucasian,5,4,2
126,6mGGovzyvCUadAMioSPDsQ**,5,22,f,Hispanic,1,2,3
995,6mGGovzyvCUAdTsBCJZEWw**,11,47,f,white,1,2,3
714,6mGGovzyvCUAIaQgKuW8Mw**,6,58,f,White,3,1,4
726,6mGGovzyvCUaj26ROZECyA**,7,39,m,black,3,2,3
291,6mGGovzyvCUAKOq2LjAHjg**,4,48,f,white,5,4,2
977,6mGGovzyvCUaoBH540uvYA**,6,45,m,white,10,6,4
187,6mGGovzyvCUaS3fXtiqFhg**,6,28,f,White,4,2,6
195,6mGGovzyvCUaTv9Lw3IOqA**,3,23,f,White,1,1,2
368,6mGGovzyvCUAuMvVp7WKtA**,9,24,m,Black,0,1,3
584,6mGGovzyvCUAWdhMNZPmig**,8,38,m,White,3,4,4
811,6mGGovzyvCUB141DG3v9_g**,8,36,f,caucasion,10,4,6
849,6mGGovzyvCUb4BiLdjTjhw**,9,30,f,White,1,2,4
495,6mGGovzyvCUb7-e9AXjIQw**,4,42,f,White,8,4,4
981,6mGGovzyvCUbbv2FNZm_Og**,9,52,m,White,0,5,1
188,6mGGovzyvCUbF5fbpgKMaA**,8,56,m,white,1,1,4
463,6mGGovzyvCUbG7BduK8LWA**,8,58,f,white,3,2,0
894,6mGGovzyvCUBgnOmGj6n-A**,6,47,m,white,10,3,6
236,6mGGovzyvCUBGSFPzvFbOA**,8,57,m,white,7,1,6
300,6mGGovzyvCUBh2ajOVyfdQ**,1,42,m,caucasian,11,3,6
189,6mGGovzyvCUbhPtotkRy5Q**,9,54,f,white/american indian,2,1,1
813,6mGGovzyvCUBI8KPD3esBA**,9,58,f,white,3,3,4
71,6mGGovzyvCUbkOkvqBO7SQ**,10,56,f,white,10,4,5
