subject,cond,inc,house,reason,inc2,ses,split,context,tradeoff,,,,,,,,
1,0,3,4,2,35000,17500,0,0,1,,,,,,,,
2,1,4,1,0,45000,45000,1,1,0,,,,,,,,
3,0,2,1,0,25000,25000,0,1,0,,,,,,,,
4,1,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
5,0,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
6,1,3,1,2,35000,35000,1,0,1,,,,,,,,
7,0,9,3,0,95000,54848.27557,1,1,0,,,,,,,,
8,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
9,0,0,4,2,5000,2500,0,0,1,,,,,,,,
10,1,6,2,3,65000,45961.94078,1,0,0,,,,,,,,
11,0,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
12,1,2,2,0,25000,17677.66953,0,1,0,,,,,,,,
13,0,6,2,0,65000,45961.94078,1,1,0,,,,,,,,
14,1,3,2,3,35000,24748.73734,0,0,0,,,,,,,,
15,0,9,3,0,95000,54848.27557,1,1,0,,,,,,,,
16,1,4,4,0,45000,22500,0,1,0,,,,,,,,
17,0,1,1,2,15000,15000,0,0,1,,,,,,,,
18,1,7,5,3,75000,33541.01966,1,0,0,,,,,,,,
19,0,1,2,0,15000,10606.60172,0,1,0,,,,,,,,
20,1,9,3,2,95000,54848.27557,1,0,1,,,,,,,,
21,0,5,3,0,55000,31754.26481,1,1,0,,,,,,,,
22,1,3,4,0,35000,17500,0,1,0,,,,,,,,
23,0,4,5,2,45000,20124.6118,0,0,1,,,,,,,,
24,1,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
25,0,4,5,0,45000,20124.6118,0,1,0,,,,,,,,
26,1,11,3,0,150000,86602.54038,1,1,0,,,,,,,,
27,0,6,1,0,65000,65000,1,1,0,,,,,,,,
28,1,8,2,0,85000,60104.0764,1,1,0,,,,,,,,
29,0,5,2,2,55000,38890.87297,1,0,1,,,,,,,,
30,1,9,4,4,95000,47500,1,0,0,,,,,,,,
31,0,6,5,0,65000,29068.88371,1,1,0,,,,,,,,
32,1,1,2,2,15000,10606.60172,0,0,1,,,,,,,,
33,0,3,6,0,35000,14288.69017,0,1,0,,,,,,,,
34,1,2,2,3,25000,17677.66953,0,0,0,,,,,,,,
35,0,2,2,1,25000,17677.66953,0,0,0,,,,,,,,
36,1,9,5,2,95000,42485.29157,1,0,1,,,,,,,,
37,0,6,3,4,65000,37527.7675,1,0,0,,,,,,,,
38,1,7,2,0,75000,53033.00859,1,1,0,,,,,,,,
39,0,3,1,0,35000,35000,1,1,0,,,,,,,,
40,1,2,1,0,25000,25000,0,1,0,,,,,,,,
41,0,10,5,2,125000,55901.69944,1,0,1,,,,,,,,
42,1,5,2,3,55000,38890.87297,1,0,0,,,,,,,,
44,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
45,0,7,3,0,75000,43301.27019,1,1,0,,,,,,,,
46,1,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
47,0,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
48,1,4,3,0,45000,25980.76211,0,1,0,,,,,,,,
50,1,7,4,3,75000,37500,1,0,0,,,,,,,,
51,0,1,1,2,15000,15000,0,0,1,,,,,,,,
52,1,10,2,2,125000,88388.34765,1,0,1,,,,,,,,
53,0,2,1,2,25000,25000,0,0,1,,,,,,,,
54,1,3,2,2,35000,24748.73734,0,0,1,,,,,,,,
55,0,0,1,2,5000,5000,0,0,1,,,,,,,,
56,1,10,3,0,125000,72168.78365,1,1,0,,,,,,,,
57,0,0,3,2,5000,2886.751346,0,0,1,,,,,,,,
58,1,5,2,0,55000,38890.87297,1,1,0,,,,,,,,
