subject,cond,age,gender,eth,inc,house,edu
1,2,22,m,white,4,4,0
2,0,43,m,White,9,3,4
3,1,57,m,white,11,5,6
4,2,23,m,White,6,2,4
5,0,28,m,caucasian,10,2,4
6,1,21,m,caucasian,1,3,2
7,2,25,m,White,3,4,4
8,0,38,m,Caucasian,4,3,3
9,1,31,m,White,10,2,6
10,2,23,m,White,1,1,2
11,0,25,f,white,1,3,2
12,1,26,f,white,4,3,4
14,0,27,f,white,5,2,6
16,2,30,m,white,9,2,2
17,0,35,f,Black,10,1,4
18,1,50,f,Caucasian,6,3,2
19,2,22,m,Asian,1,2,4
20,0,29,f,white,7,1,6
21,1,28,f,white,1,4,1
22,2,22,f,Asian ,1,3,2
23,0,30,m,caucasion ,3,4,3
24,1,31,f,white,6,2,1
25,2,25,m,Caucasian,2,3,3
28,2,24,m,Latino,7,6,4
30,1,34,m,White,1,3,1
31,2,29,m,White,1,3,1
32,0,31,f,White,4,2,2
33,1,33,m,Caucasian,2,1,2
34,2,35,m,White,2,2,2
35,0,41,m,White,6,6,4
36,1,24,m,Asian,4,3,4
37,2,26,f,White,5,3,3
38,0,18,m,Caucasian ,8,4,2
39,1,28,m,white,5,3,6
40,2,23,f,white,2,2,1
41,0,25,m,Caucasian,3,3,2
42,1,30,m,White,2,1,6
43,2,24,f,white,0,2,2
44,0,32,m,white,9,3,4
45,1,29,f,Caucasian,7,2,3
47,0,30,m,asian,3,2,2
48,1,54,f,asian,4,2,4
49,2,34,m,Asian,8,3,2
50,0,31,m,Caucasian ,1,3,1
51,1,30,m,Asian,9,2,4
52,2,23,f,White,2,2,3
53,0,37,f,white,2,5,2
54,1,31,m,white,2,5,2
56,0,32,f,Caucasian,4,4,2
57,1,34,f,Caucasian,6,3,6
58,2,31,f,Caucasian,0,4,2
59,0,28,f,white,6,1,5
60,1,27,f,white,3,3,2
61,2,29,m,White,3,2,4
62,0,31,f,Caucasian,0,4,2
63,1,42,f,white,6,3,1
64,2,23,f,Caucasian,2,1,2
65,0,39,m,African American,9,2,4
66,1,38,m,white,2,2,3
67,2,24,m,White,2,1,4
68,0,22,m,Asian/Vietnamese,5,4,3
69,1,22,m,Black,4,5,3
70,2,25,m,White,1,2,4
71,0,23,m,black,3,2,4
72,1,33,f,White,9,4,2
74,0,44,f,white,6,4,2
75,1,29,m,Asian American,4,1,3
76,2,21,m,White,2,4,1
77,0,35,f,white,1,1,3
78,1,33,m,Caucasian,6,4,4
79,2,40,f,Caucasian,4,5,1
80,0,20,m,White,5,5,2
81,1,21,m,hispanic,4,3,2
82,2,24,m,Asian,7,3,4
83,0,22,f,caucasian,3,2,2
84,1,20,m,white,3,4,2
85,2,31,m,White,1,2,5
86,0,28,m,White,6,2,1
87,1,41,m,White,5,3,4
88,2,29,m,White,2,1,1
89,0,38,m,asian,7,4,4
92,0,21,m,White,5,1,2
95,0,23,m,white,0,1,1
96,1,22,f,WHITE,3,2,1
97,2,24,m,white,3,2,2
98,0,34,f,white,5,3,4
99,1,24,m,black,6,3,1
101,0,27,f,White,0,2,3
102,1,21,m,Caucasian,2,3,1
103,2,29,m,Asian,8,4,2
104,0,55,m,Caucasian,5,2,1
105,1,36,m,white,0,1,1
106,2,26,m,asian,2,1,4
107,2,21,f,Hispanic,4,4,2
109,1,27,m,White,8,3,4
110,2,34,m,Black,4,3,2
111,0,33,m,White,4,4,2
112,1,35,m,white,2,4,2
113,2,26,f,caucasian,8,2,4
114,0,30,m,White -non hispanic,3,4,2
115,1,46,m,white,2,1,1
116,2,31,m,White,3,1,1
117,0,28,f,Asian,3,1,6
118,1,43,m,white,2,1,4
119,2,31,m,White,1,3,2
120,0,29,f,White,5,2,4
121,1,19,m,White,4,2,1
122,2,36,f,white,1,2,3
123,0,39,f,black / african-american,10,3,2
124,1,43,f,white,5,3,1
125,2,26,m,W ,8,2,2
126,0,19,f,white,2,4,2
127,1,39,m,Caucasian,8,4,4
129,0,65,f,white,8,2,6
130,1,29,m,Asian/Chinese,5,1,4
131,2,49,f,white,10,4,6
132,0,35,m,white,8,4,6
133,1,23,m,Asian,5,1,4
134,2,34,m,White,6,4,4
135,0,24,f,white,6,4,3
136,1,37,m,White,5,1,3
138,0,32,m,caucasian,10,2,4
139,1,23,m,white,2,2,1
140,2,33,m,White,10,5,6
141,0,20,m,White,5,2,2
142,1,23,f,AFRICAN AMERICAN,0,3,2
143,2,34,f,white,2,2,2
144,0,46,f,White,11,4,6
145,1,27,f,White/American,9,4,1
146,2,24,m,asian,5,10,4
147,0,28,f,Black,0,2,2
148,1,49,f,African American,4,4,2
149,2,31,f,White,4,2,4
150,0,19,f,Hispanic,0,1,2
151,1,28,m,White,3,2,2
152,2,33,f,white,7,4,2
153,0,38,m,white,2,2,1
154,1,38,f,White Hispanic ,11,5,3
155,2,26,f,European American,5,2,4
156,0,43,m,white,5,1,4
157,1,28,m,white,7,2,6
158,2,55,f,white,4,2,2
159,0,33,m,White,4,5,5
160,1,56,m,caucasian,0,1,4
161,2,36,m,Caucassian,2,4,1
162,0,23,m,White,0,1,1
163,1,43,m,Caucasian,6,3,4
164,2,33,f,Hispanic,2,5,1
165,0,56,m,white,3,1,2
166,1,62,m,caucasian,3,1,3
167,2,44,m,Caucasian,9,4,6
168,0,18,f,white,3,3,1
169,1,26,m,Caucasian,0,2,1
170,2,23,m,White,7,1,4
171,0,24,f,mixed,0,1,4
172,1,29,m,Middle Eastern,6,3,5
173,2,32,m,Caucasian,4,1,4
174,0,45,f,White,9,3,3
175,1,24,f,White,4,3,3
176,2,28,f,White,5,2,6
177,0,23,m,white,7,1,4
178,1,23,f,White,6,2,4
179,2,38,f,White,10,4,6
180,0,18,m,white,8,4,2
181,1,23,m,Asian,5,3,4
182,2,25,m,black,1,1,6
183,0,63,f,White,4,4,1
184,1,20,m,white,0,1,3
185,2,32,m,East Indian,3,1,6
186,0,31,m,Hispanic,3,1,5
187,1,21,f,Black,4,4,2
188,2,35,f,White,4,3,2
189,0,23,f,Asian/Mixed,1,1,4
190,1,25,f,Caucasion,0,2,3
191,2,28,m,white,3,2,5
192,0,23,f,white,0,1,2
193,1,30,m,white,3,4,1
194,2,38,m,Caucasian,2,2,1
195,0,25,m,White,1,2,2
196,1,26,f,Asian,5,3,4
197,2,50,m,White,8,2,2
198,0,19,m,white,0,2,2
199,1,42,m,White,3,4,2
200,2,34,f,black,0,1,1
201,0,21,f,Caucasian,2,4,2
202,1,40,m,White,4,3,2
203,2,22,f,White,2,2,4
204,0,26,f,Italian,7,3,4
205,1,27,m,white,2,1,1
206,2,23,m,Caucasian,1,4,4
207,0,32,f,White,7,3,4
208,1,23,f,white,2,5,1
209,2,33,f,white,4,2,2
210,0,36,f,Caucasian,3,2,2
211,1,21,m,White,3,2,1
212,2,27,m,White,1,3,2
213,0,23,m,White,7,3,4
214,1,30,f,white,1,1,4
215,2,23,f,Caucasian,4,2,2
216,0,26,f,white,2,1,2
217,1,35,m,white,6,5,4
218,2,44,m,white,3,4,3
219,0,23,m,Caucasian,1,1,2
220,1,21,m,Asian,7,7,2
221,2,41,f,white,0,1,5
